count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.00348,2.89537,170.186,178.853,33515,18125,77.2119
0,-174,-0.708949,148.386,-0.0224609,-1.16394,0.40094,0.4,12,-0.0357453,150.243,-0.00113248,-1.45204,150.196,0.0471598,146.004,2.3826,0.402618,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1,-178,-0.711928,148.441,-0.0906375,-3.29135,0.400864,0.4,4,-0.0357453,150.206,-0.00355938,-4.81136,150.191,0.0157249,146.008,2.4325,0.402695,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2,-182,-0.711928,148.471,-0.156873,-3.5093,0.401169,0.4,7,-0.0357453,150.218,-0.00473329,-6.76786,150.191,0.0275152,145.99,2.48087,0.402695,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
3,-183,-0.714907,148.493,-0.181967,-1.73256,0.401016,0.4,13,-0.0357453,150.242,-0.00394074,-5.67987,150.191,0.0510876,145.999,2.49374,0.402695,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
4,-180,-0.714907,148.461,-0.183302,-0.249301,0.40094,0.4,13,-0.0387241,150.247,-0.0225796,-3.26573,150.196,0.0510878,146.004,2.45698,0.402618,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
5,-175,-0.717885,148.413,-0.17446,-0.173842,0.400711,0.4,10,-0.0387241,150.225,-0.0642404,-1.30868,150.185,0.0393026,146.017,2.39581,0.402771,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
6,-173,-0.720864,148.388,-0.183612,-1.1164,0.400711,0.4,6,-0.0357453,150.225,-0.0643184,-0.41189,150.201,0.0235856,146.017,2.37095,0.402542,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
7,-176,-0.717885,148.421,-0.177524,-1.6368,0.400787,0.4,3,-0.0387241,150.197,-0.0273484,-0.264012,150.185,0.0117942,146.013,2.40797,0.402771,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
8,-180,-0.723843,148.48,-0.146926,-0.742041,0.400635,0.4,4,-0.0357453,150.201,-0.00487689,-0.476983,150.185,0.0157248,146.022,2.45805,0.402771,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
9,-182,-0.723843,148.505,-0.154601,1.00672,0.400635,0.4,7,-0.0357453,150.261,0.0256984,-0.168131,150.233,0.0275161,146.022,2.48275,0.402084,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
10,-179,-0.720864,148.458,-0.136012,1.87169,0.400787,0.4,9,-0.0387241,150.231,0.0313603,0.636453,150.196,0.035374,146.013,2.44514,0.402618,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
11,-177,-0.720864,148.428,-0.0516214,1.06172,0.400864,0.4,10,-0.0417029,150.257,-0.0347499,0.970571,150.217,0.0393036,146.008,2.42011,0.402313,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
12,-181,-0.723843,148.473,-0.00281069,0.0284518,0.40094,0.4,8,-0.0417029,150.243,-0.112609,0.898904,150.212,0.0314452,146.004,2.46934,0.40239,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
13,-186,-0.723843,148.554,-0.0218303,0.535984,0.400635,0.4,6,-0.0417029,150.23,-0.134332,0.531004,150.207,0.0235857,146.022,2.53203,0.402466,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
14,-189,-0.726822,148.571,-0.0637101,2.09981,0.40094,0.4,6,-0.0417029,150.236,-0.107054,0.0057752,150.212,0.0235858,146.004,2.56776,0.40239,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
15,-188,-0.732779,148.559,-0.143602,2.87123,0.40094,0.4,6,-0.0446817,150.246,-0.0868497,-0.157622,150.223,0.023586,146.004,2.5555,0.402237,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
16,-186,-0.729801,148.544,-0.21757,2.26765,0.400787,0.4,5,-0.0417029,150.232,-0.0749715,-0.101333,150.212,0.0196556,146.013,2.53148,0.40239,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
17,-186,-0.732779,148.549,-0.209265,1.15779,0.400711,0.4,7,-0.0417029,150.234,-0.0298054,-0.158917,150.207,0.0275155,146.017,2.53175,0.402466,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
18,-185,-0.729801,148.542,-0.149295,0.305222,0.400635,0.4,13,-0.0387241,150.268,0.0368741,0.0256488,150.217,0.0510887,146.022,2.51972,0.402313,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
19,-184,-0.732779,148.525,-0.0841651,-0.306618,0.400711,0.4,17,-0.0417029,150.273,0.0744991,0.605742,150.207,0.0667975,146.017,2.50714,0.402466,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
20,-185,-0.735758,148.527,-0.0744874,-0.736684,0.400864,0.4,16,-0.0446817,150.27,0.0300116,0.952523,150.207,0.0628707,146.008,2.51891,0.402466,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
21,-186,-0.732779,148.554,-0.0903691,-0.617741,0.400635,0.4,15,-0.0446817,150.271,-0.0564114,0.828956,150.212,0.0589438,146.022,2.53203,0.40239,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
22,-184,-0.738737,148.52,-0.0923182,-0.25548,0.400787,0.4,18,-0.0417029,150.267,-0.0769909,0.518428,150.196,0.0707235,146.013,2.50687,0.402618,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
23,-180,-0.735758,148.47,-0.107626,-0.645864,0.400787,0.4,18,-0.0417029,150.277,-0.0249632,0.27486,150.207,0.0707241,146.013,2.45751,0.402466,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
24,-175,-0.738737,148.408,-0.104351,-1.94045,0.400787,0.4,15,-0.0417029,150.26,0.0231241,0.10165,150.201,0.0589432,146.013,2.39555,0.402542,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
25,-173,-0.735758,148.393,-0.0744499,-3.21574,0.400635,0.4,18,-0.0357453,150.283,0.0769066,-0.00214729,150.212,0.0707244,146.022,2.3712,0.40239,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
26,-174,-0.735758,148.401,-0.0217428,-3.44277,0.400711,0.4,24,-0.0357453,150.306,0.1587,0.302512,150.212,0.0942777,146.017,2.38339,0.40239,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
27,-177,-0.738737,148.433,0.00598963,-2.39051,0.400787,0.4,25,-0.0327666,150.316,0.209793,0.87651,150.217,0.0982026,146.013,2.42037,0.402313,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
28,-179,-0.735758,148.463,-0.00417442,-0.626362,0.400711,0.4,19,-0.0357453,150.271,0.194274,0.857868,150.196,0.0746497,146.017,2.44541,0.402618,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
29,-178,-0.741716,148.45,-0.0272211,0.802719,0.400711,0.4,17,-0.0387241,150.311,0.0955461,0.348691,150.244,0.0667995,146.017,2.43303,0.401932,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
30,-179,-0.741716,148.453,-0.0892695,1.22668,0.400864,0.4,21,-0.0417029,150.316,-0.0508442,0.317918,150.233,0.0825038,146.008,2.44488,0.402084,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
31,-182,-0.744694,148.49,-0.150699,1.27269,0.400864,0.4,24,-0.0357453,150.312,-0.1175,0.52808,150.217,0.0942781,146.008,2.48195,0.402313,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
32,-184,-0.744694,148.52,-0.175362,1.66227,0.400787,0.4,21,-0.0446817,150.305,-0.113274,0.404825,150.223,0.0825031,146.013,2.50687,0.402237,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
33,-186,-0.741716,148.529,-0.138197,2.08463,0.401016,0.4,14,-0.0446817,150.272,-0.16084,-0.0909285,150.217,0.0550165,145.999,2.53066,0.402313,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
34,-187,-0.744694,148.566,-0.0655034,2.26975,0.400635,0.4,13,-0.0446817,150.268,-0.196997,-0.781771,150.217,0.0510887,146.022,2.54431,0.402313,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
35,-183,-0.744694,148.522,-0.0377361,1.99351,0.400558,0.4,17,-0.0446817,150.306,-0.158769,-0.879877,150.239,0.0667992,146.026,2.49536,0.402008,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
36,-173,-0.744694,148.393,-0.0360556,0.130764,0.400635,0.4,17,-0.0417029,150.3,-0.0801574,-0.246302,150.233,0.066799,146.022,2.3712,0.402084,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
37,-171,-0.747673,148.373,-0.0455594,-2.83318,0.400558,0.4,16,-0.0446817,150.291,-0.0060213,0.197044,150.228,0.0628717,146.026,2.34654,0.402161,0.4,1,-24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
