count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.35795,2.99367,170.15,178.515,0,17343,77.915
0,33273,-1.11704,137.6,-0.0354597,-1.50865,0.400635,0.4,-8,-0.175748,150.148,-0.00557899,-1.45791,150.18,-0.0314627,146.022,247.011,0.402847,0.4,1,-29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1,33270,-1.11704,195.342,-0.11145,383.859,0.401016,0.4,-5,-0.172769,150.176,0.00251226,-4.39449,150.196,-0.0196621,145.999,241.457,0.402618,0.4,1,-29,0,0.479823,0,0.479823,0,0,0,0,0,0,0,0,,,,,,,
2,33266,-1.11704,352.713,-0.148207,2273.23,0.401093,0.4,1,-0.175748,150.184,0.0196604,-5.45303,150.18,0.00393192,145.994,18.8124,0.402847,0.4,1,-29,0,2.84154,0,2.84154,0,0,0,0,0,0,0,0,,,,,,,
3,33266,-1.12002,110.603,-0.143422,3316.65,0.400864,0.4,8,-0.16979,150.227,0.0414849,-3.83682,150.196,0.0314448,146.008,-188.152,0.402618,0.4,1,-29,0,4.14581,0,4.14581,0,0,0,0,0,0,0,0,,,,,,,
4,33269,-1.12002,88.9415,-0.142811,508.762,0.401016,0.4,11,-0.178727,150.255,0.0393159,-1.31007,150.212,0.0432321,145.999,-107.778,0.40239,0.4,1,-29,0,4.14581,0,4.14581,0,0,0,0,0,0,0,0,,,,,,,
5,33274,-1.12002,-47.6893,-0.124057,-3625.79,0.40094,0.4,10,-0.175748,150.241,-0.0322568,0.655985,150.201,0.0393031,146.004,43.3789,0.402542,0.4,1,-29,0,4.14581,0,4.14581,0,0,0,0,0,0,0,0,,,,,,,
6,33279,-1.11704,305.3,-0.0628161,-3964.41,0.401169,0.4,9,-0.175748,150.237,-0.0731167,1.25448,150.201,0.0353741,145.99,210.529,0.402542,0.4,1,-29,0,4.14581,0,4.14581,0,0,0,0,0,0,0,0,,,,,,,
7,33281,-1.12002,148.349,-0.00054843,-261.649,0.40094,0.4,10,-0.181705,150.251,-0.0902504,1.11014,150.212,0.0393034,146.004,-248.598,0.40239,0.4,1,-29,0,4.14581,0,4.14581,0,0,0,0,0,0,0,0,,,,,,,
8,33280,-1.12002,-169.13,0.00530263,-534.027,0.40094,0.4,10,-0.175748,150.251,-0.112951,0.921539,150.212,0.0393034,146.004,-124.943,0.40239,0.4,1,-29,0,4.14581,0,4.14581,0,0,0,0,0,0,0,0,,,,,,,
9,33278,-1.123,156.295,-0.0337497,-3640.45,0.40094,0.4,6,-0.178727,150.236,-0.0717468,0.587848,150.212,0.0235858,146.004,312.88,0.40239,0.4,1,-29,0,4.14581,0,4.14581,0,0,0,0,0,0,0,0,,,,,,,
