count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.31923,2.94601,170.104,178.494,33393,17422,76.5088,,,angle_without_reflex,,,angle_without_reflex,
0,-214,-1.0664,148.889,-0.0339716,-1.15434,0.400711,0.4,4,-0.142981,150.228,-0.00455485,-1.46052,150.212,0.0157252,146.017,2.87159,0.40239,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
1,-217,-1.0664,148.92,-0.106773,-3.41931,0.400787,0.4,-5,-0.14596,150.208,-0.0343614,-4.72027,150.228,-0.0196626,146.013,2.9072,0.402161,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
2,-221,-1.06938,148.972,-0.162012,-3.81477,0.400711,0.4,-11,-0.148939,150.169,-0.102066,-6.77937,150.212,-0.0432674,146.017,2.95522,0.40239,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
3,-220,-1.07236,148.96,-0.201168,-2.11258,0.400711,0.4,-10,-0.14596,150.189,-0.142553,-6.32915,150.228,-0.0393329,146.017,2.94331,0.402161,0.4,1,-25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
4,-217,-1.06938,148.949,-0.203116,-0.722763,0.40033,0.4,-7,-0.148939,150.184,-0.120789,-4.46205,150.212,-0.0275295,146.04,2.909,0.40239,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
5,-220,-1.06938,148.96,-0.129138,-0.110322,0.400711,0.4,-6,-0.14596,150.178,-0.0791373,-2.45607,150.201,-0.0235956,146.017,2.94331,0.402542,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
6,-224,-1.0664,148.984,-0.0237227,0.404808,0.401093,0.4,-1,-0.14596,150.197,-0.0204806,-0.953276,150.201,-0.00393154,145.994,2.98937,0.402542,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
7,-221,-1.0664,148.972,0.0662653,0.820739,0.400711,0.4,7,-0.14596,150.245,0.0293123,0.462726,150.217,0.0275157,146.017,2.95522,0.402313,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
8,-214,-1.0664,148.874,0.105568,0.114692,0.40094,0.4,15,-0.148939,150.276,0.0219265,1.90528,150.217,0.058944,146.004,2.8707,0.402313,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
9,-212,-1.06938,148.855,0.0732742,-1.73365,0.400864,0.4,16,-0.148939,150.27,-0.0271015,2.68328,150.207,0.0628707,146.008,2.84701,0.402466,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
10,-216,-1.07236,148.903,-0.0199186,-2.6246,0.400864,0.4,9,-0.151918,150.242,-0.0800822,2.21547,150.207,0.0353743,146.008,2.89494,0.402466,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
11,-219,-1.07236,148.939,-0.113095,-1.52716,0.400864,0.4,0,-0.151918,150.212,-0.120391,0.807298,150.212,3.71E-07,146.008,2.93078,0.40239,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
12,-218,-1.07236,148.942,-0.141066,0.160673,0.400635,0.4,-8,-0.148939,150.17,-0.104543,-0.864093,150.201,-0.0314633,146.022,2.91975,0.402542,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
13,-219,-1.07534,148.953,-0.134551,1.17195,0.400635,0.4,-10,-0.148939,150.183,-0.0297371,-1.9989,150.223,-0.0393328,146.022,2.93168,0.402237,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
14,-222,-1.07534,148.975,-0.13556,1.59354,0.400864,0.4,-6,-0.148939,150.199,0.029194,-1.92346,150.223,-0.0235959,146.008,2.96652,0.402237,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
15,-224,-1.07236,149.023,-0.0993692,2.02555,0.400482,0.4,4,-0.148939,150.228,0.0456437,-0.878287,150.212,0.0157252,146.031,2.99183,0.40239,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
16,-224,-1.07534,149.003,-0.0375301,2.31659,0.400787,0.4,10,-0.148939,150.278,0.0401185,0.618441,150.239,0.0393042,146.013,2.9906,0.402008,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
17,-220,-1.07534,148.936,-0.0217959,1.4208,0.401093,0.4,9,-0.148939,150.263,0.0270128,1.83879,150.228,0.0353749,145.994,2.94179,0.402161,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
18,-215,-1.07236,148.911,-0.00942354,-0.540379,0.400558,0.4,4,-0.14596,150.255,0.0342856,1.92688,150.239,0.0157255,146.026,2.88417,0.402008,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
19,-212,-1.07534,148.86,0.0180706,-2.34092,0.400787,0.4,1,-0.14596,150.232,0.06798,1.07291,150.228,0.00393206,146.013,2.84731,0.402161,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
20,-212,-1.07236,148.875,0.0243386,-3.20847,0.400558,0.4,4,-0.151918,150.238,0.0434756,0.110375,150.223,0.0157253,146.026,2.8482,0.402237,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
21,-217,-1.07832,148.915,0.000240153,-2.57414,0.400864,0.4,4,-0.148939,150.233,-0.0384251,-0.418331,150.217,0.0157252,146.008,2.9069,0.402313,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
22,-221,-1.07534,148.972,-0.0498676,-0.590117,0.400711,0.4,15,-0.148939,150.271,-0.0618456,-0.298344,150.212,0.0589438,146.017,2.95522,0.40239,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
23,-221,-1.0813,148.982,-0.097219,1.49788,0.400558,0.4,6,-0.148939,150.257,-0.034795,0.210655,150.233,0.0235862,146.026,2.95583,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
24,-221,-1.07832,148.968,-0.130671,2.37494,0.400787,0.4,-6,-0.148939,150.205,-0.0142401,0.0781454,150.228,-0.023596,146.013,2.95492,0.402161,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
25,-222,-1.0813,148.989,-0.129274,2.11045,0.400635,0.4,-13,-0.14596,150.166,0.0180825,-1.05406,150.217,-0.0511383,146.022,2.96743,0.402313,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
26,-221,-1.0813,148.972,-0.113795,1.51128,0.400711,0.4,-11,-0.148939,150.174,0.0464718,-2.05078,150.217,-0.0432676,146.017,2.95522,0.402313,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
27,-217,-1.0813,148.934,-0.0966962,0.520034,0.400558,0.4,-8,-0.154896,150.175,-0.01457,-2.05248,150.207,-0.0314634,146.026,2.9081,0.402466,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
28,-215,-1.08428,148.911,-0.0835707,-0.814317,0.400558,0.4,-10,-0.151918,150.189,-0.116052,-1.34055,150.228,-0.0393329,146.026,2.88417,0.402161,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
29,-214,-1.08725,148.894,-0.115694,-1.83606,0.400635,0.4,-11,-0.151918,150.163,-0.126669,-0.6659,150.207,-0.0432672,146.022,2.87189,0.402466,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
30,-212,-1.08725,148.879,-0.157848,-2.24593,0.400482,0.4,-8,-0.154896,150.213,-0.0968733,-0.126364,150.244,-0.0314643,146.031,2.84849,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
31,-210,-1.08725,148.855,-0.152702,-2.27571,0.400482,0.4,-7,-0.148939,150.222,-0.0583915,0.685614,150.25,-0.0275303,146.031,2.82445,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
32,-211,-1.08428,148.853,-0.0893418,-2.11078,0.400711,0.4,-8,-0.151918,150.191,0.0133738,1.08584,150.223,-0.0314638,146.017,2.83559,0.402237,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
33,-216,-1.0813,148.913,0.0210195,-1.26691,0.400711,0.4,-10,-0.154896,150.205,0.0193804,0.698372,150.244,-0.0393334,146.017,2.89554,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
34,-222,-1.08428,148.97,0.101,0.594445,0.40094,0.4,-10,-0.154896,150.2,-0.0434691,0.289878,150.239,-0.0393333,146.004,2.96621,0.402008,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
35,-225,-1.08428,149.025,0.0867853,2.74164,0.400635,0.4,-6,-0.154896,150.199,-0.0777178,0.0599776,150.223,-0.0235959,146.022,3.00309,0.402237,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
36,-226,-1.08428,149.032,0.0374954,4.06017,0.400711,0.4,4,-0.154896,150.271,-0.0708858,0.388801,150.255,0.0157257,146.017,3.01464,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
37,-227,-1.08725,149.044,-0.0130118,4.05381,0.400711,0.4,17,-0.157875,150.311,-0.0689821,1.65011,150.244,0.0667995,146.017,3.0265,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
38,-229,-1.09023,149.067,-0.0904684,3.323,0.400711,0.4,19,-0.154896,150.308,-0.0696388,2.72985,150.233,0.074652,146.017,3.05017,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
39,-228,-1.09023,149.046,-0.158138,2.37755,0.400864,0.4,7,-0.157875,150.256,-0.0511257,2.31888,150.228,0.027516,146.008,3.03772,0.402161,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
40,-225,-1.08725,149.025,-0.14339,1.07372,0.400635,0.4,-4,-0.154896,150.218,-0.0296637,0.543412,150.233,-0.0157294,146.022,3.00309,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
41,-222,-1.09023,148.989,-0.0785524,-0.420407,0.400635,0.4,-7,-0.157875,150.211,-0.0127666,-1.2422,150.239,-0.02753,146.022,2.96743,0.402008,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
42,-223,-1.09023,148.996,-0.0506101,-1.49675,0.400711,0.4,-2,-0.157875,150.236,-0.0223644,-1.81734,150.244,-0.00786401,146.017,2.97902,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
43,-224,-1.09023,149.008,-0.045451,-1.60281,0.400711,0.4,7,-0.160854,150.261,-0.0603708,-1.10521,150.233,0.0275161,146.017,2.99091,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
44,-227,-1.09321,149.058,-0.0510055,-0.67035,0.400482,0.4,11,-0.160854,150.255,-0.0998658,-0.0513448,150.212,0.0432321,146.031,3.02742,0.40239,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
45,-235,-1.09023,149.128,-0.0593806,1.11988,0.400864,0.4,10,-0.157875,150.273,-0.0892196,0.604589,150.233,0.0393041,146.008,3.12032,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
46,-239,-1.09619,149.19,-0.0667585,3.2508,0.400635,0.4,6,-0.154896,150.273,-0.000599625,0.912262,150.25,0.0235864,146.022,3.16826,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
47,-232,-1.09023,149.098,-0.071885,3.93544,0.400787,0.4,5,-0.157875,150.253,0.0762685,0.781518,150.233,0.0196559,146.013,3.08529,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
48,-226,-1.09321,149.032,-0.0346132,1.88864,0.400711,0.4,13,-0.157875,150.306,0.0674184,0.605326,150.255,0.0510902,146.017,3.01464,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
49,-229,-1.09321,149.058,-0.00986352,-0.800025,0.400864,0.4,21,-0.154896,150.327,0.0455836,1.08448,150.244,0.0825045,146.008,3.04955,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
50,-237,-1.09023,149.171,0.00302887,-1.02592,0.400558,0.4,18,-0.157875,150.315,0.0443137,1.54409,150.244,0.0707262,146.026,3.1451,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
51,-241,-1.09023,149.209,0.0475889,1.11166,0.400711,0.4,6,-0.157875,150.279,0.0118125,1.05328,150.255,0.0235865,146.017,3.19137,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
52,-237,-1.09321,149.167,0.0531371,2.67601,0.400635,0.4,-5,-0.160854,150.225,-0.044852,-0.365051,150.244,-0.0196628,146.022,3.14478,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
53,-229,-1.09321,149.072,0.00102317,1.64989,0.400635,0.4,-10,-0.163833,150.205,-0.116237,-1.95499,150.244,-0.0393334,146.022,3.05048,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
54,-222,-1.09619,148.999,-0.0608101,-1.26194,0.400482,0.4,-10,-0.163833,150.216,-0.174434,-2.6393,150.255,-0.0393337,146.031,2.96804,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
55,-218,-1.09321,148.946,-0.0899287,-4.0956,0.400558,0.4,-6,-0.160854,150.242,-0.1514,-2.01991,150.266,-0.0235967,146.026,2.92005,0.401627,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
56,-219,-1.09619,148.949,-0.0776421,-5.3449,0.400711,0.4,1,-0.163833,150.259,-0.0809868,-0.678653,150.255,0.00393214,146.017,2.93138,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
57,-220,-1.09619,148.97,-0.0715786,-4.59656,0.400558,0.4,10,-0.160854,150.294,-0.0299509,0.699902,150.255,0.0393047,146.026,2.94391,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
58,-218,-1.09619,148.956,-0.0697515,-2.83504,0.400406,0.4,14,-0.166812,150.305,-0.0206756,1.73921,150.25,0.0550179,146.036,2.92065,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
59,-217,-1.09321,148.934,-0.0301398,-1.53222,0.400558,0.4,12,-0.163833,150.297,-0.0512263,2.0236,150.25,0.0471618,146.026,2.9081,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
60,-219,-1.09619,148.958,0.0143874,-0.807309,0.400558,0.4,7,-0.163833,150.272,-0.0499764,1.39067,150.244,0.0275163,146.026,2.93199,0.401932,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
61,-225,-1.09619,149.025,0.00886038,0.332255,0.400635,0.4,4,-0.163833,150.265,-0.0159387,0.321748,150.25,0.0157256,146.022,3.00309,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
62,-231,-1.09917,149.091,-0.0358745,2.21308,0.400711,0.4,2,-0.160854,150.263,0.022444,-0.477733,150.255,0.00786361,146.017,3.07381,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
63,-233,-1.09619,149.115,-0.064691,3.8879,0.400711,0.4,-2,-0.163833,150.226,0.0522623,-1.00573,150.233,-0.00786394,146.017,3.0974,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
64,-231,-1.09619,149.071,-0.0390961,4.00216,0.401016,0.4,-2,-0.157875,150.22,0.0704732,-1.50529,150.228,-0.00786391,145.999,3.07256,0.402161,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
65,-227,-1.09619,149.049,0.00205168,2.39425,0.400635,0.4,0,-0.163833,150.233,0.0789864,-1.5386,150.233,3.68E-07,146.022,3.0268,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
66,-227,-1.09917,149.044,-0.0015411,0.454503,0.400711,0.4,-3,-0.163833,150.238,0.0211585,-0.966613,150.25,-0.0117967,146.017,3.0265,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
67,-229,-1.09619,149.067,-0.0226114,-0.528735,0.400711,0.4,-12,-0.163833,150.186,-0.048456,-0.669646,150.233,-0.0472034,146.017,3.05017,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
68,-229,-1.09619,149.067,-0.00513803,-0.506145,0.400711,0.4,-18,-0.166812,150.211,-0.0841479,-0.864922,150.282,-0.0708239,146.017,3.05017,0.401398,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
69,-227,-1.10215,149.044,-0.0165613,-0.360152,0.400711,0.4,-15,-0.166812,150.196,-0.116236,-0.828155,150.255,-0.0590119,146.017,3.0265,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
70,-226,-1.10215,149.037,-0.0969492,-0.568009,0.400635,0.4,-5,-0.16979,150.235,-0.138169,-0.361149,150.255,-0.019663,146.022,3.01495,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
71,-225,-1.10215,149.02,-0.144045,-0.866072,0.400711,0.4,7,-0.166812,150.299,-0.129954,0.782578,150.271,0.0275169,146.017,3.00278,0.40155,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
72,-221,-1.10215,148.982,-0.124619,-1.28169,0.400558,0.4,15,-0.166812,150.319,-0.0714567,2.29819,150.26,0.058946,146.026,2.95583,0.401703,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
73,-217,-1.10215,148.92,-0.0829755,-2.14721,0.400787,0.4,8,-0.166812,150.297,-0.00799703,2.85902,150.266,0.0314465,146.013,2.9072,0.401627,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
74,-217,-1.10513,148.93,-0.0634294,-2.95134,0.400635,0.4,-11,-0.166812,150.217,0.020357,1.62252,150.26,-0.0432689,146.022,2.9078,0.401703,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
75,-222,-1.10811,148.984,-0.0983221,-2.40666,0.400711,0.4,-28,-0.166812,150.139,0.0265689,-1.07315,150.25,-0.11021,146.017,2.96713,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
76,-229,-1.10215,149.077,-0.106175,-0.106629,0.400558,0.4,-33,-0.166812,150.12,0.0219643,-3.61091,150.25,-0.129915,146.026,3.05079,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
77,-234,-1.10513,149.126,-0.0406202,2.81879,0.400711,0.4,-26,-0.16979,150.158,-0.00585434,-4.2139,150.26,-0.102331,146.017,3.10918,0.401703,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
78,-232,-1.10513,149.108,-0.00250802,4.42534,0.400635,0.4,-12,-0.16979,150.208,-0.0557413,-2.60912,150.255,-0.0472041,146.022,3.08592,0.401779,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
79,-227,-1.10513,149.044,-0.00608986,3.54402,0.400711,0.4,-1,-0.166812,150.235,-0.0613083,-0.133236,150.239,-0.00393165,146.017,3.0265,0.402008,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
80,-225,-1.10215,149.02,0.0141681,1.07956,0.400711,0.4,2,-0.163833,150.241,0.0129849,1.66776,150.233,0.00786349,146.017,3.00278,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
81,-226,-1.10215,149.042,0.0588948,-0.832794,0.400558,0.4,-3,-0.16979,150.222,0.0602518,2.09807,150.233,-0.0117965,146.026,3.01526,0.402084,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
82,-225,-1.09917,149.025,0.1016,-1.37905,0.400635,0.4,-8,-0.16979,150.197,0.00347402,1.32018,150.228,-0.0314639,146.022,3.00309,0.402161,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
83,-227,-1.10215,149.039,0.11187,-1.21869,0.400787,0.4,-6,-0.16979,150.237,-0.0609639,0.443062,150.26,-0.0235966,146.013,3.02619,0.401703,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
84,-232,-1.10215,149.098,0.0659178,-0.351664,0.400787,0.4,-9,-0.166812,150.246,-0.0510876,0.396335,150.282,-0.0353997,146.013,3.08529,0.401398,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
85,-234,-1.09917,149.131,0.0291705,1.21408,0.400635,0.4,-17,-0.16979,150.183,-0.0132031,0.240945,150.25,-0.0668851,146.022,3.10949,0.401855,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
86,-231,-1.10513,149.106,0.00612675,2.20705,0.400482,0.4,-19,-0.166812,150.202,0.00599554,-0.552214,150.276,-0.0747611,146.031,3.07474,0.401474,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
87,-225,-1.10513,149.02,-0.0651409,1.3254,0.400711,0.4,-15,-0.172769,150.212,-0.00771271,-0.834175,150.271,-0.0590127,146.017,3.00278,0.40155,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
88,-218,-1.10513,148.942,-0.11705,-1.24863,0.400635,0.4,-14,-0.175748,150.211,-0.0913971,-0.468072,150.266,-0.0550761,146.022,2.91975,0.401627,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
89,-215,-1.10215,148.92,-0.0868564,-3.74892,0.400406,0.4,-13,-0.16979,150.225,-0.141328,-0.0413899,150.276,-0.0511406,146.036,2.88477,0.401474,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
90,-217,-1.10513,148.925,-0.0309107,-4.55333,0.400711,0.4,-9,-0.172769,150.236,-0.0837182,0.403389,150.271,-0.0353994,146.017,2.9075,0.40155,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
91,-224,-1.10513,149.023,-0.0195031,-3.08089,0.400482,0.4,-9,-0.175748,150.23,-0.0573669,0.680312,150.266,-0.0353993,146.031,2.99183,0.401627,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
92,-232,-1.10513,149.117,-0.0295648,0.344106,0.400482,0.4,-9,-0.178727,150.23,-0.111138,0.608722,150.266,-0.0353993,146.031,3.08655,0.401627,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
93,-236,-1.10811,149.15,-0.0457743,3.81683,0.400711,0.4,-1,-0.175748,150.256,-0.143408,0.554414,150.26,-0.00393172,146.017,3.13271,0.401703,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
94,-236,-1.10513,149.15,-0.0601619,5.29356,0.400711,0.4,5,-0.172769,150.291,-0.0779796,0.964139,150.271,0.0196565,146.017,3.13271,0.40155,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
95,-235,-1.10811,149.143,-0.0499017,4.64668,0.400635,0.4,-3,-0.172769,150.248,0.0301421,1.22617,150.26,-0.0117968,146.022,3.12127,0.401703,0.4,1,-26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,-35,0,,-29,0
