count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.79583,3.06516,170.209,178.606,33030,17270,75.3003
0,-253,-1.38215,149.314,-0.0438385,-1.13583,0.401245,0.4,8,-0.238302,150.217,-0.00755836,-1.45451,150.185,0.0314445,145.985,3.32883,0.402771,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1,-256,-1.3762,149.358,-0.0976778,-3.27003,0.401093,0.4,2,-0.238302,150.215,-0.0237559,-4.58585,150.207,0.00786333,145.994,3.3642,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2,-258,-1.38215,149.387,-0.0970915,-3.6171,0.401016,0.4,1,-0.238302,150.227,-0.0315908,-6.04279,150.223,0.00393204,145.999,3.38763,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
3,-258,-1.37917,149.377,-0.0902996,-2.17545,0.401169,0.4,7,-0.24426,150.218,-0.0664716,-4.92309,150.191,0.0275152,145.99,3.38696,0.402695,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
4,-258,-1.38215,149.382,-0.0829171,-0.905206,0.401093,0.4,10,-0.241281,150.251,-0.123239,-2.94338,150.212,0.0393034,145.994,3.38729,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
5,-260,-1.38215,149.41,-0.0774867,0.0513487,0.401016,0.4,9,-0.241281,150.258,-0.113515,-0.896996,150.223,0.0353747,145.999,3.41068,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
6,-264,-1.38513,149.441,-0.0943962,1.05161,0.401245,0.4,10,-0.24426,150.267,-0.0788562,0.567274,150.228,0.0393039,145.985,3.45567,0.402161,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
7,-268,-1.38513,149.506,-0.115949,2.22968,0.40094,0.4,12,-0.24426,150.265,-0.0833146,1.16999,150.217,0.0471606,146.004,3.50287,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
8,-268,-1.38811,149.492,-0.133629,3.1067,0.401169,0.4,9,-0.24426,150.242,-0.0826962,0.97543,150.207,0.0353743,145.99,3.50185,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
9,-263,-1.38811,149.444,-0.144965,2.55303,0.401016,0.4,4,-0.24426,150.222,-0.0601277,0.177402,150.207,0.0157251,145.999,3.4452,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
10,-258,-1.38811,149.401,-0.130577,0.609285,0.400787,0.4,3,-0.24426,150.224,-0.0345876,-0.606148,150.212,0.0117944,146.013,3.38863,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
11,-257,-1.38811,149.385,-0.0894052,-1.36359,0.400864,0.4,4,-0.24426,150.217,-0.0147121,-0.924691,150.201,0.015725,146.008,3.37675,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
12,-259,-1.39407,149.393,-0.0883084,-2.2636,0.401093,0.4,7,-0.24426,150.24,-0.00253779,-0.737231,150.212,0.0275156,145.994,3.39883,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
13,-262,-1.39407,149.433,-0.144074,-1.75757,0.401016,0.4,13,-0.24426,150.258,0.00317253,-0.081499,150.207,0.0510883,145.999,3.4337,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
14,-263,-1.39109,149.464,-0.148209,-0.277363,0.400711,0.4,16,-0.241281,150.27,0.0247069,0.686907,150.207,0.0628707,146.017,3.44654,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
15,-263,-1.39109,149.434,-0.0698594,0.895137,0.401169,0.4,14,-0.241281,150.262,0.0669966,1.04705,150.207,0.055016,145.99,3.44452,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
16,-254,-1.39705,149.34,-0.0387077,0.318233,0.401016,0.4,14,-0.241281,150.288,0.0864098,1.06723,150.233,0.0550172,145.999,3.3414,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
17,-251,-1.39407,149.31,-0.0755213,-1.66922,0.40094,0.4,6,-0.238302,150.23,0.0911397,0.703882,150.207,0.0235857,146.004,3.30695,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
18,-249,-1.39705,149.282,-0.0903893,-3.26223,0.401016,0.4,7,-0.241281,150.245,0.0885261,-0.140452,150.217,0.0275157,145.999,3.2834,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
19,-252,-1.40003,149.317,-0.112221,-3.38473,0.401016,0.4,8,-0.241281,150.27,0.0435169,-0.474849,150.239,0.0314458,145.999,3.31823,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
20,-257,-1.40003,149.385,-0.151069,-1.78769,0.400864,0.4,7,-0.24426,150.245,-0.0268635,-0.215254,150.217,0.0275157,146.008,3.37675,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
21,-261,-1.403,149.411,-0.166422,0.676154,0.401169,0.4,8,-0.241281,150.243,-0.0686718,-0.230125,150.212,0.0314452,145.99,3.42153,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
22,-261,-1.403,149.421,-0.167934,2.38778,0.401016,0.4,14,-0.24426,150.283,-0.0673885,-0.0971812,150.228,0.055017,145.999,3.4222,0.402161,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
23,-261,-1.40896,149.426,-0.183337,2.79346,0.40094,0.4,17,-0.24426,150.29,-0.068727,0.55122,150.223,0.0667984,146.004,3.42253,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
24,-262,-1.403,149.423,-0.180312,2.31769,0.401169,0.4,15,-0.24426,150.282,-0.0707806,0.970584,150.223,0.0589443,145.99,3.43303,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
25,-262,-1.40598,149.428,-0.110491,1.5184,0.401093,0.4,10,-0.241281,150.257,-0.0324645,0.651011,150.217,0.0393036,145.994,3.43337,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
26,-261,-1.403,149.416,-0.0319449,0.745835,0.401093,0.4,8,-0.247239,150.254,-0.00780657,-0.0629613,150.223,0.0314454,145.994,3.42186,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
27,-261,-1.403,149.431,0.0290835,0.203411,0.400864,0.4,6,-0.24426,150.241,-0.0355235,-0.631605,150.217,0.0235859,146.008,3.42287,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
