count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.56051,2.99665,170.195,178.617,33574,17396,75.1904
0,-249,-1.21534,149.287,-0.0385816,-1.13768,0.40094,0.4,-3,-0.199578,150.136,-0.00633571,-1.45836,150.148,-0.0117958,146.004,3.28372,0.403305,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1,-249,-1.21534,149.277,-0.121262,-3.64181,0.401093,0.4,-2,-0.202557,150.172,-0.0399568,-4.34062,150.18,-0.00786361,145.994,3.28307,0.402847,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2,-246,-1.21832,149.238,-0.181288,-5.2306,0.401169,0.4,-1,-0.202557,150.208,-0.0894777,-5.08872,150.212,-0.00393157,145.99,3.24783,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
3,-244,-1.2213,149.214,-0.217243,-5.23372,0.401169,0.4,-3,-0.208514,150.157,-0.145871,-3.63707,150.169,-0.011796,145.99,3.22451,0.403,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
4,-240,-1.21832,149.167,-0.213533,-4.71864,0.401169,0.4,-3,-0.208514,150.168,-0.209892,-2.42415,150.18,-0.0117961,145.99,3.17774,0.402847,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
5,-235,-1.2213,149.119,-0.154403,-4.34704,0.401016,0.4,2,-0.205536,150.209,-0.199705,-1.19003,150.201,0.00786329,145.999,3.11969,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
6,-234,-1.2213,149.102,-0.108376,-4.10464,0.401093,0.4,8,-0.208514,150.206,-0.121584,0.243794,150.174,0.0314443,145.994,3.10761,0.402924,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
7,-236,-1.22726,149.12,-0.120199,-3.32483,0.401169,0.4,10,-0.205536,150.219,-0.0565437,1.09169,150.18,0.0393024,145.99,3.13082,0.402847,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
8,-238,-1.22428,149.139,-0.152675,-1.84255,0.401245,0.4,8,-0.205536,150.217,0.00556476,1.28629,150.185,0.0314445,145.985,3.15398,0.402771,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
9,-239,-1.23024,149.166,-0.164899,-0.180511,0.401016,0.4,9,-0.205536,150.221,0.0497188,1.10126,150.185,0.0353737,145.999,3.16666,0.402771,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
10,-239,-1.23321,149.17,-0.205566,1.06785,0.40094,0.4,13,-0.208514,150.226,0.034501,0.797322,150.174,0.051087,146.004,3.16698,0.402924,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
11,-240,-1.23321,149.187,-0.247009,1.6505,0.400864,0.4,11,-0.208514,150.218,-0.0211491,0.497402,150.174,0.0432308,146.008,3.17902,0.402924,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
12,-242,-1.23024,149.201,-0.19747,1.79353,0.401016,0.4,7,-0.205536,150.207,-0.0384174,0.0977137,150.18,0.0275149,145.999,3.20179,0.402847,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
13,-245,-1.23619,149.246,-0.123747,1.96487,0.400864,0.4,6,-0.205536,150.209,0.00487431,-0.276004,150.185,0.0235853,146.008,3.23747,0.402771,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
14,-248,-1.23024,149.271,-0.0799682,2.36911,0.401016,0.4,5,-0.211493,150.194,0.00140208,-0.504666,150.174,0.019655,145.999,3.27177,0.402924,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
15,-251,-1.23024,149.31,-0.000271056,2.80361,0.40094,0.4,2,-0.208514,150.188,-0.060503,-0.693537,150.18,0.00786317,146.004,3.30695,0.402847,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
16,-250,-1.23321,149.294,0.0527449,2.81903,0.401016,0.4,-2,-0.211493,150.167,-0.0897645,-0.910997,150.174,-0.00786358,145.999,3.29502,0.402924,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
17,-246,-1.23024,149.242,0.0404166,1.76388,0.401093,0.4,-5,-0.208514,150.149,-0.0775878,-1.19699,150.169,-0.0196617,145.994,3.24816,0.403,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
18,-243,-1.23024,149.212,0.0444937,-0.153457,0.401016,0.4,-9,-0.205536,150.166,-0.0115136,-1.25404,150.201,-0.0353975,145.999,3.21347,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
19,-245,-1.23321,149.216,0.0341852,-1.62972,0.401321,0.4,-14,-0.208514,150.173,0.0589653,-0.785393,150.228,-0.0550746,145.981,3.23553,0.402161,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
20,-248,-1.23321,149.271,-0.0193493,-1.58453,0.401016,0.4,-14,-0.211493,150.152,0.0320842,-0.317766,150.207,-0.0550737,145.999,3.27177,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
21,-249,-1.23619,149.287,-0.0763007,-0.267213,0.40094,0.4,-6,-0.208514,150.199,-0.0277532,0.0403142,150.223,-0.0235959,146.004,3.28372,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
22,-244,-1.23321,149.229,-0.0992829,0.546983,0.40094,0.4,7,-0.214472,150.229,-0.0649877,0.872503,150.201,0.0275154,146.004,3.22548,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
23,-241,-1.23917,149.199,-0.102047,-0.139606,0.400864,0.4,14,-0.211493,150.256,-0.102862,1.88462,150.201,0.0550158,146.008,3.19073,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
24,-244,-1.23619,149.234,-0.115759,-0.947174,0.400864,0.4,7,-0.208514,150.223,-0.0706929,2.14242,150.196,0.0275153,146.008,3.2258,0.402618,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
25,-249,-1.23917,149.287,-0.110249,-0.397398,0.40094,0.4,-3,-0.211493,150.195,0.00172107,1.22154,150.207,-0.0117963,146.004,3.28372,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
26,-249,-1.23917,149.277,-0.0982766,0.824287,0.401093,0.4,-2,-0.211493,150.193,0.0110992,-0.103392,150.201,-0.00786374,145.994,3.28307,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
27,-243,-1.23619,149.198,-0.0668293,0.796827,0.401245,0.4,10,-0.208514,150.235,0.0119637,-0.552921,150.196,0.0393029,145.985,3.21251,0.402618,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
28,-235,-1.23619,149.114,0.00423944,-1.13238,0.401093,0.4,19,-0.208514,150.265,0.0491478,0.164786,150.191,0.0746494,145.994,3.11938,0.402695,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
29,-232,-1.23917,149.088,0.0324253,-3.46028,0.40094,0.4,20,-0.208514,150.258,0.0712638,1.05508,150.18,0.0785746,146.004,3.08467,0.402847,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
30,-235,-1.23619,149.119,0.0152841,-4.19091,0.401016,0.4,14,-0.208514,150.24,0.0611648,1.12557,150.185,0.0550151,145.999,3.11969,0.402771,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
31,-240,-1.24215,149.177,-0.0159468,-2.72894,0.401016,0.4,7,-0.208514,150.213,0.0404923,0.375322,150.185,0.027515,145.999,3.17838,0.402771,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
32,-244,-1.24513,149.209,-0.104684,-0.178983,0.401245,0.4,1,-0.208514,150.216,0.0210329,-0.506386,150.212,0.00393201,145.985,3.22419,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
33,-248,-1.24215,149.266,-0.173182,2.12708,0.401093,0.4,-4,-0.211493,150.164,-0.0126945,-1.22367,150.18,-0.0157288,145.994,3.27144,0.402847,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
34,-251,-1.24513,149.315,-0.154766,3.81292,0.400864,0.4,-7,-0.211493,150.179,-0.063231,-1.7636,150.207,-0.0275294,146.008,3.30728,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
35,-251,-1.24215,149.305,-0.105442,4.46084,0.401016,0.4,-10,-0.211493,150.2,-0.0870509,-1.51979,150.239,-0.0393333,145.999,3.30663,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
36,-250,-1.24811,149.304,-0.0766715,3.71427,0.400864,0.4,-14,-0.211493,150.146,-0.0733955,-0.992223,150.201,-0.0550735,146.008,3.29567,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
37,-250,-1.24215,149.318,-0.0641519,2.41285,0.400635,0.4,-18,-0.214472,150.147,-0.0679861,-1.08416,150.217,-0.0708205,146.022,3.29665,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
38,-250,-1.24811,149.294,-0.0417012,1.24553,0.401016,0.4,-14,-0.214472,150.157,-0.0874718,-1.11354,150.212,-0.055074,145.999,3.29502,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
39,-249,-1.24811,149.282,-0.0612772,0.118065,0.401016,0.4,-1,-0.214472,150.197,-0.091945,-0.411364,150.201,-0.00393154,145.999,3.2834,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
40,-247,-1.24811,149.259,-0.092903,-0.857186,0.401016,0.4,15,-0.211493,150.271,-0.0489596,1.09776,150.212,0.0589438,145.999,3.26013,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
41,-246,-1.25109,149.242,-0.100912,-1.53078,0.401093,0.4,23,-0.211493,150.297,0.0220419,2.86092,150.207,0.0903525,145.994,3.24816,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
42,-247,-1.25109,149.264,-0.117033,-1.63116,0.40094,0.4,17,-0.214472,150.279,0.0454931,3.53995,150.212,0.0667978,146.004,3.26045,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
43,-248,-1.25407,149.28,-0.132218,-0.94481,0.400864,0.4,7,-0.214472,150.229,0.0030302,2.45945,150.201,0.0275154,146.008,3.27242,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
44,-247,-1.25407,149.259,-0.142986,-0.18409,0.401016,0.4,4,-0.211493,150.212,-0.0152033,0.438149,150.196,0.015725,145.999,3.26013,0.402618,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
45,-247,-1.25407,149.274,-0.128937,0.101229,0.400787,0.4,7,-0.214472,150.223,0.00147067,-1.00345,150.196,0.0275153,146.013,3.2611,0.402618,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
46,-248,-1.26002,149.28,-0.128494,0.290378,0.400864,0.4,8,-0.214472,150.217,-0.0119876,-1.33075,150.185,0.0314445,146.008,3.27242,0.402771,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
47,-251,-1.25704,149.32,-0.153941,0.746704,0.400787,0.4,10,-0.214472,150.241,-0.0343044,-0.958527,150.201,0.0393031,146.013,3.30761,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
48,-252,-1.26002,149.332,-0.143156,1.3912,0.400787,0.4,13,-0.211493,150.252,-0.0141731,-0.191087,150.201,0.0510881,146.013,3.31921,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
49,-249,-1.25704,149.287,-0.100243,1.40524,0.40094,0.4,12,-0.214472,150.254,0.0181199,0.50661,150.207,0.0471602,146.004,3.28372,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
50,-249,-1.25704,149.292,-0.0355337,0.542906,0.400864,0.4,6,-0.208514,150.241,0.0466896,0.670273,150.217,0.0235859,146.008,3.28405,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
51,-252,-1.25704,149.312,0.0207832,-0.0584643,0.401093,0.4,4,-0.214472,150.255,0.0659563,0.485195,150.239,0.0157255,145.994,3.3179,0.402008,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
52,-253,-1.25407,149.329,0.0584663,0.123438,0.401016,0.4,2,-0.211493,150.225,0.0361056,0.177025,150.217,0.00786339,145.999,3.32982,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
53,-251,-1.25704,149.305,0.0783242,0.366687,0.401016,0.4,-2,-0.214472,150.21,-0.00594377,-0.406701,150.217,-0.00786384,145.999,3.30663,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
54,-248,-1.25407,149.276,0.0654405,-0.0337323,0.40094,0.4,-1,-0.217451,150.24,-0.0617005,-0.739729,150.244,-0.00393167,146.004,3.27209,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
55,-246,-1.25407,149.262,0.0625111,-0.838997,0.400787,0.4,4,-0.217451,150.238,-0.128133,-0.381842,150.223,0.0157253,146.013,3.24945,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
56,-247,-1.25704,149.259,0.0444155,-1.3482,0.401016,0.4,4,-0.217451,150.26,-0.141011,0.195898,150.244,0.0157255,145.999,3.26013,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
57,-253,-1.25407,149.339,0.00489205,-0.791985,0.400864,0.4,1,-0.214472,150.216,-0.0882539,0.362608,150.212,0.00393201,146.008,3.33048,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
58,-258,-1.25407,149.396,0.0072602,1.08844,0.400864,0.4,0,-0.217451,150.233,-0.0226337,0.00449787,150.233,3.68E-07,146.008,3.38829,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
59,-256,-1.25704,149.373,0.00629023,2.72766,0.400864,0.4,2,-0.217451,150.225,-0.00945626,-0.259897,150.217,0.00786339,146.008,3.36519,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
60,-250,-1.25704,149.304,-0.0358351,2.27884,0.400864,0.4,2,-0.217451,150.241,-0.0214864,-0.183454,150.233,0.00786349,146.008,3.29567,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
61,-246,-1.25407,149.257,-0.0435297,0.0748744,0.400864,0.4,3,-0.217451,150.229,-0.0206549,-0.0229867,150.217,0.0117945,146.008,3.24913,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
62,-244,-1.25704,149.229,-0.0149211,-2.13913,0.40094,0.4,6,-0.217451,150.23,-0.0147385,0.00125695,150.207,0.0235857,146.004,3.22548,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
63,-245,-1.25704,149.25,-0.0191251,-3.02442,0.400787,0.4,6,-0.217451,150.236,-0.00831947,-0.0204701,150.212,0.0235858,146.013,3.23779,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
64,-247,-1.25704,149.274,-0.0357395,-2.31792,0.400787,0.4,5,-0.214472,150.242,0.0166021,0.101114,150.223,0.0196558,146.013,3.2611,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
65,-250,-1.25407,149.294,-0.0129033,-0.807077,0.401016,0.4,3,-0.217451,150.229,0.0424132,0.162482,150.217,0.0117945,145.999,3.29502,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
66,-250,-1.25704,149.294,0.0200705,0.46254,0.401016,0.4,3,-0.217451,150.224,0.0215481,-0.0244508,150.212,0.0117944,145.999,3.29502,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
67,-249,-1.26002,149.292,-0.0117943,0.985456,0.400864,0.4,4,-0.217451,150.26,-0.0129305,-0.0132894,150.244,0.0157255,146.008,3.28405,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
68,-252,-1.25704,149.327,-0.06184,1.14557,0.400864,0.4,3,-0.217451,150.213,-0.0236744,0.129575,150.201,0.0117943,146.008,3.31888,0.402542,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
