Time,Length,Pressure,Force
0,.60,-0.001,0.00
0,184.60,0.027,0.00
0,184.60,0.047,0.00
0,184.50,0.003,0.00
0,184.50,-0.003,0.00
0,184.50,-0.001,0.00
0,184.50,0.032,0.00
6,184.60,-0.003,0.00
6,184.60,-0.001,0.00
8,184.60,0.027,0.00
8,184.60,0.047,0.00
8,184.50,0.003,0.00
9,184.50,-0.003,0.00
9,184.50,-0.001,0.00
9,184.50,0.032,0.00
14,184.50,0.047,0.00
38,184.50,0.003,0.00
57,184.50,-0.003,0.00
78,184.50,-0.001,0.00
88,184.50,0.014,0.00
119,184.40,0.048,0.00
135,184.40,0.014,0.00
150,184.40,0.0,0.00
182,184.40,-0.001,0.00
198,184.40,0.014,0.00
214,184.40,0.048,0.00
233,184.40,0.013,0.00
252,184.40,0.0,0.00
281,184.40,0.005,0.00
301,184.40,0.02,0.00
321,184.40,0.043,0.00
341,184.40,0.008,0.00
357,184.40,0.0,0.00
373,184.30,0.004,0.00
392,184.30,0.024,0.00
420,184.30,0.042,0.00
437,184.30,0.005,0.00
460,184.20,0.002,0.00
478,184.20,0.003,0.00
494,184.20,0.008,0.00
510,184.10,0.043,0.00
525,184.10,0.016,0.00
557,184.00,-0.001,0.00
572,184.00,0.003,0.00
588,183.90,0.008,0.00
619,183.90,0.042,0.00
637,183.80,0.016,0.00
651,183.80,-0.001,0.00
675,183.70,0.003,0.00
692,183.60,0.008,0.00
715,183.50,0.043,0.00
731,183.40,0.016,0.00
747,183.30,-0.001,0.00
778,183.20,-0.002,0.00
794,183.10,0.007,0.00
811,183.00,0.042,0.00
825,182.90,0.016,0.00
857,182.80,0.0,0.00
878,182.70,0.0,0.00
898,182.60,0.007,0.00
918,182.40,0.037,0.00
939,182.30,0.027,0.00
954,182.20,-0.001,0.00
977,182.10,0.0,0.00
989,181.90,0.008,0.00
1017,181.80,0.038,0.00
1034,181.70,0.026,0.00
1058,181.60,-0.002,0.00
1067,181.40,0.0,0.00
1099,181.30,0.008,0.00
1119,181.20,0.037,0.00
1136,181.10,0.026,0.00
1156,181.00,-0.001,0.00
1171,180.90,-0.001,0.00
1194,180.70,0.007,0.00
1218,180.60,0.038,0.00
1232,180.50,0.026,0.00
1258,180.30,-0.002,0.00
1275,180.20,-0.002,0.00
1296,180.10,0.007,0.00
1312,180.00,0.029,0.00
1337,179.90,0.029,0.00
1358,179.70,-0.002,0.00
1378,179.60,-0.003,0.00
1396,179.50,0.005,0.00
1409,179.40,0.027,0.00
1433,179.20,0.038,0.00
1456,179.10,-0.002,0.00
1474,179.00,-0.002,0.00
1488,178.90,0.007,0.00
1510,178.70,0.03,0.00
1539,178.60,0.038,0.00
1558,178.50,-0.001,0.00
1578,178.40,-0.001,0.00
1593,178.20,0.008,0.00
1609,178.10,0.03,0.00
1624,178.00,0.04,0.00
1656,177.90,-0.001,0.00
1677,177.80,0.002,0.00
1687,177.70,0.008,0.00
1718,177.60,0.03,0.00
1735,177.40,0.038,0.00
1759,177.30,-0.002,0.00
1775,177.20,0.002,0.00
1791,177.10,0.007,0.00
1815,177.00,0.019,0.00
1824,176.90,0.041,0.00
1856,176.80,0.008,0.00
1875,176.70,0.002,0.00
1888,176.60,0.005,0.00
1905,176.40,0.016,0.00
1935,176.30,0.042,0.00
1951,176.20,0.008,0.00
1975,176.10,0.0,0.00
1991,176.00,0.004,0.00
2016,175.90,0.018,0.00
2032,175.80,0.044,0.00
2057,175.70,0.01,0.00
2072,175.60,0.0,0.00
2091,175.40,0.004,0.00
2103,175.30,0.015,0.00
2137,175.20,0.043,0.00
2151,175.10,0.01,0.00
2167,175.00,-0.001,0.00
2191,174.90,0.0,0.00
2215,174.80,0.007,0.00
2231,174.70,0.044,0.00
2255,174.60,0.013,0.00
2263,174.50,-0.001,0.00
2294,174.40,-0.002,0.00
2312,174.30,0.007,0.00
2326,174.20,0.043,0.00
2357,174.10,0.022,0.00
2373,174.00,-0.002,0.00
2390,173.90,-0.002,0.00
2413,173.80,0.005,0.00
2435,173.70,0.043,0.00
2454,173.60,0.025,0.00
2476,173.50,-0.002,0.00
2493,173.40,-0.001,0.00
2510,173.30,0.005,0.00
2524,173.20,0.043,0.00
2556,173.10,0.025,0.00
2571,173.10,-0.002,0.00
2589,173.00,-0.002,0.00
2603,172.90,0.005,0.00
2635,172.70,0.042,0.00
2657,172.60,0.026,0.00
2675,172.50,-0.002,0.00
2693,172.40,-0.004,0.00
2709,172.30,0.003,0.00
2724,172.20,0.035,0.00
2739,172.10,0.04,0.00
2772,172.10,-0.001,0.00
2787,172.00,-0.004,0.00
2804,171.90,0.003,0.00
2835,171.80,0.033,0.00
2855,171.70,0.041,0.00
2874,171.70,-0.001,0.00
2892,171.60,-0.004,0.00
2914,171.50,0.004,0.00
2933,171.40,0.032,0.00
2955,171.30,0.042,0.00
2973,171.20,-0.001,0.00
2996,171.10,-0.003,0.00
3015,171.00,0.004,0.00
3032,171.00,0.03,0.00
3052,170.90,0.042,0.00
3074,170.80,-0.001,0.00
3090,170.70,-0.003,0.00
3114,170.60,0.004,0.00
3135,170.50,0.03,0.00
3154,170.40,0.042,0.00
3175,170.40,0.003,0.00
3192,170.30,-0.001,0.00
3207,170.20,0.002,0.00
3232,170.10,0.029,0.00
3250,170.00,0.042,0.00
3274,169.90,0.003,0.00
3295,169.90,-0.001,0.00
3314,169.80,0.003,0.00
3332,169.70,0.016,0.00
3340,169.60,0.044,0.00
3370,169.50,0.004,0.00
3387,169.50,0.0,0.00
3401,169.40,0.003,0.00
3433,169.30,0.016,0.00
3454,169.30,0.047,0.00
3472,169.20,0.004,0.00
