Time,Length,Pressure,Force
2,164.30,0.003,0.00
2,164.30,0.004,0.00
2,164.30,0.004,0.00
2,164.30,0.004,0.00
2,164.30,0.004,0.00
2,164.40,0.003,0.00
2,164.30,0.003,0.00
2,164.30,0.003,0.00
2,164.30,0.003,0.00
2,164.30,0.004,0.00
2,164.30,0.004,0.00
2,164.30,0.004,0.00
2,164.30,0.004,0.00
2,164.40,0.003,0.00
2,164.40,0.003,0.00
28,164.40,0.003,0.00
50,164.40,0.003,0.00
62,164.40,0.003,0.00
88,164.40,0.004,0.00
108,164.40,0.003,0.00
128,164.40,0.003,0.00
146,164.40,0.003,0.00
169,164.50,0.004,0.00
189,164.50,0.003,0.00
206,164.50,0.003,0.00
222,164.50,0.004,0.00
234,164.50,0.004,0.00
268,164.50,0.003,0.00
284,164.50,0.004,0.00
302,164.60,0.003,0.00
327,164.60,0.003,0.00
346,164.60,0.004,0.00
359,164.60,0.004,0.00
387,164.60,0.004,0.00
404,164.60,0.004,0.00
429,164.70,0.004,0.00
445,164.70,0.004,0.00
467,164.70,0.004,0.00
484,164.70,0.004,0.00
501,164.70,0.004,0.00
519,164.70,0.004,0.00
548,164.80,0.003,0.00
564,164.80,0.003,0.00
579,164.80,0.004,0.00
595,164.80,0.003,0.00
626,164.80,0.003,0.00
642,164.90,0.003,0.00
668,164.90,0.003,0.00
684,164.90,0.004,0.00
708,164.90,0.004,0.00
724,165.00,0.003,0.00
742,165.00,0.004,0.00
756,165.00,0.003,0.00
789,165.00,0.004,0.00
803,165.00,0.004,0.00
821,165.10,0.003,0.00
835,165.10,0.004,0.00
868,165.10,0.004,0.00
883,165.10,0.004,0.00
901,165.10,0.004,0.00
925,165.20,0.003,0.00
946,165.20,0.003,0.00
965,165.20,0.004,0.00
981,165.20,0.003,0.00
998,165.30,0.003,0.00
1028,165.30,0.004,0.00
1047,165.30,0.004,0.00
1066,165.30,0.004,0.00
1088,165.30,0.004,0.00
1104,165.40,0.004,0.00
1128,165.40,0.004,0.00
1146,165.40,0.004,0.00
1159,165.40,0.004,0.00
1175,165.50,0.004,0.00
1206,165.50,0.004,0.00
1226,165.50,0.004,0.00
1237,165.50,0.005,0.00
1253,165.60,0.004,0.00
1285,165.60,0.004,0.00
1302,165.60,0.004,0.00
1324,165.60,0.004,0.00
1348,165.70,0.004,0.00
1364,165.70,0.004,0.00
1376,165.70,0.004,0.00
1404,165.70,0.004,0.00
1420,165.80,0.004,0.00
1435,165.80,0.003,0.00
1467,165.80,0.004,0.00
1485,165.80,0.004,0.00
1501,165.90,0.004,0.00
1522,165.90,0.004,0.00
1539,165.90,0.004,0.00
1563,165.90,0.004,0.00
1579,166.00,0.004,0.00
1595,166.00,0.004,0.00
1627,166.00,0.004,0.00
1645,166.00,0.004,0.00
1658,166.00,0.004,0.00
1681,166.10,0.004,0.00
1706,166.10,0.004,0.00
1723,166.10,0.004,0.00
1746,166.20,0.004,0.00
1765,166.20,0.003,0.00
1787,166.20,0.004,0.00
1806,166.20,0.004,0.00
1827,166.20,0.004,0.00
1844,166.30,0.004,0.00
1861,166.30,0.004,0.00
1885,166.30,0.004,0.00
1905,166.40,0.003,0.00
1924,166.40,0.003,0.00
1942,166.40,0.003,0.00
1961,166.40,0.003,0.00
1986,166.50,0.003,0.00
2002,166.50,0.003,0.00
2018,166.50,0.003,0.00
2043,166.50,0.003,0.00
2058,166.60,0.003,0.00
2073,166.60,0.003,0.00
2105,166.60,0.003,0.00
2126,166.70,0.003,0.00
2144,166.70,0.003,0.00
2152,166.70,0.003,0.00
2179,166.70,0.003,0.00
2202,166.80,0.003,0.00
2218,166.80,0.003,0.00
2244,166.80,0.003,0.00
2258,166.80,0.003,0.00
2274,166.90,0.003,0.00
2305,166.90,0.003,0.00
2321,166.90,0.003,0.00
2337,166.90,0.003,0.00
2362,167.00,0.003,0.00
2386,167.00,0.003,0.00
2401,167.00,0.004,0.00
2425,167.10,0.004,0.00
2443,167.10,0.004,0.00
