Time,Length,Pressure,Force
9,183.50,0.044,0.00
30,183.40,0.04,0.00
48,183.40,0.037,0.00
65,183.30,0.042,0.00
90,183.20,0.044,0.00
96,183.10,0.043,0.00
128,183.10,0.04,0.00
143,183.00,0.037,0.00
170,182.90,0.04,0.00
175,182.80,0.043,0.00
207,182.70,0.043,0.00
230,182.60,0.04,0.00
247,182.50,0.037,0.00
271,182.40,0.04,0.00
287,182.30,0.043,0.00
303,182.20,0.044,0.00
328,182.10,0.041,0.00
343,182.00,0.038,0.00
358,181.90,0.04,0.00
390,181.80,0.043,0.00
406,181.70,0.043,0.00
421,181.60,0.041,0.00
445,181.40,0.04,0.00
461,181.30,0.041,0.00
488,181.20,0.042,0.00
510,181.10,0.042,0.00
518,181.00,0.041,0.00
549,180.90,0.04,0.00
565,180.80,0.041,0.00
580,180.60,0.042,0.00
612,180.50,0.042,0.00
627,180.30,0.041,0.00
643,180.20,0.04,0.00
667,180.10,0.041,0.00
688,179.90,0.042,0.00
707,179.80,0.042,0.00
723,179.70,0.041,0.00
747,179.60,0.04,0.00
763,179.50,0.041,0.00
778,179.30,0.042,0.00
794,179.20,0.042,0.00
825,179.10,0.042,0.00
841,179.00,0.041,0.00
857,178.80,0.042,0.00
889,178.70,0.043,0.00
905,178.60,0.043,0.00
929,178.40,0.042,0.00
937,178.30,0.042,0.00
968,178.20,0.041,0.00
984,178.10,0.042,0.00
999,178.00,0.043,0.00
1015,177.90,0.042,0.00
1046,177.80,0.041,0.00
1062,177.70,0.041,0.00
1083,177.60,0.042,0.00
1102,177.50,0.042,0.00
1126,177.40,0.042,0.00
1143,177.30,0.041,0.00
1163,177.20,0.042,0.00
1175,177.20,0.042,0.00
1208,177.10,0.042,0.00
1223,177.00,0.041,0.00
1238,176.90,0.041,0.00
1270,176.80,0.041,0.00
1287,176.70,0.042,0.00
1301,176.50,0.042,0.00
1325,176.40,0.042,0.00
1349,176.40,0.041,0.00
1366,176.30,0.041,0.00
1390,176.30,0.041,0.00
1398,176.20,0.042,0.00
1413,176.10,0.041,0.00
1445,176.00,0.04,0.00
1461,175.90,0.041,0.00
1476,175.80,0.042,0.00
1500,175.80,0.042,0.00
1516,175.70,0.042,0.00
1550,175.60,0.041,0.00
1564,175.60,0.041,0.00
1588,175.50,0.042,0.00
1604,175.40,0.042,0.00
1612,175.40,0.042,0.00
1644,175.30,0.041,0.00
1660,175.20,0.041,0.00
1675,175.10,0.042,0.00
1707,175.10,0.042,0.00
1723,175.00,0.041,0.00
1738,174.90,0.041,0.00
1764,174.90,0.041,0.00
1784,174.80,0.041,0.00
1795,174.80,0.042,0.00
1826,174.70,0.041,0.00
1846,174.60,0.041,0.00
1858,174.60,0.04,0.00
1874,174.50,0.041,0.00
1905,174.40,0.041,0.00
1923,174.40,0.041,0.00
1937,174.30,0.041,0.00
1964,174.30,0.041,0.00
1985,174.20,0.041,0.00
2003,174.10,0.042,0.00
2025,174.10,0.041,0.00
2041,174.00,0.041,0.00
2066,173.90,0.041,0.00
2083,173.90,0.041,0.00
2097,173.80,0.041,0.00
2115,173.70,0.042,0.00
2145,173.70,0.041,0.00
2160,173.60,0.04,0.00
2176,173.60,0.041,0.00
2208,173.50,0.042,0.00
2225,173.50,0.042,0.00
2246,173.40,0.04,0.00
2266,173.30,0.04,0.00
2287,173.30,0.041,0.00
2305,173.20,0.041,0.00
2327,173.10,0.041,0.00
2343,173.10,0.041,0.00
2359,173.00,0.04,0.00
2374,173.00,0.041,0.00
2406,172.90,0.041,0.00
2426,172.80,0.041,0.00
2447,172.80,0.04,0.00
2463,172.70,0.04,0.00
2487,172.70,0.041,0.00
2495,172.60,0.043,0.00
2511,172.60,0.044,0.00
2543,172.50,0.041,0.00
2558,172.40,0.038,0.00
2582,172.40,0.041,0.00
2605,172.30,0.043,0.00
2621,172.30,0.044,0.00
2646,172.20,0.041,0.00
2661,172.10,0.038,0.00
2685,172.10,0.041,0.00
2702,172.00,0.043,0.00
2718,172.00,0.044,0.00
2742,171.90,0.041,0.00
2766,171.80,0.037,0.00
2783,171.80,0.041,0.00
2799,171.70,0.043,0.00
2823,171.70,0.043,0.00
2839,171.70,0.041,0.00
2863,171.60,0.038,0.00
2879,171.60,0.041,0.00
2903,171.50,0.043,0.00
2919,171.50,0.043,0.00
2943,171.40,0.041,0.00
2959,171.40,0.038,0.00
2974,171.30,0.041,0.00
3006,171.20,0.043,0.00
3021,171.20,0.043,0.00
3037,171.10,0.04,0.00
3058,171.10,0.037,0.00
3085,171.00,0.04,0.00
3098,171.00,0.043,0.00
3125,170.90,0.043,0.00
3142,170.80,0.04,0.00
3165,170.80,0.038,0.00
3183,170.70,0.04,0.00
3199,170.70,0.043,0.00
3224,170.60,0.043,0.00
3245,170.60,0.041,0.00
3265,170.50,0.037,0.00
3286,170.50,0.04,0.00
3306,170.40,0.042,0.00
3321,170.40,0.043,0.00
3341,170.30,0.041,0.00
3362,170.30,0.038,0.00
3378,170.20,0.04,0.00
3393,170.10,0.042,0.00
3425,170.10,0.043,0.00
3441,170.00,0.041,0.00
3460,170.00,0.037,0.00
3481,169.90,0.038,0.00
3502,169.90,0.042,0.00
3519,169.80,0.043,0.00
3543,169.80,0.04,0.00
3563,169.70,0.037,0.00
3584,169.70,0.037,0.00
3602,169.60,0.042,0.00
3616,169.60,0.043,0.00
3632,169.50,0.04,0.00
3663,169.50,0.037,0.00
3678,169.40,0.037,0.00
3694,169.40,0.042,0.00
3712,169.30,0.044,0.00
3742,169.30,0.041,0.00
3759,169.20,0.038,0.00
3782,169.20,0.038,0.00
3798,169.10,0.042,0.00
3820,169.00,0.043,0.00
3837,169.00,0.041,0.00
3861,168.90,0.037,0.00
3884,168.90,0.037,0.00
3904,168.80,0.042,0.00
3924,168.80,0.043,0.00
3939,168.70,0.041,0.00
3964,168.70,0.037,0.00
3980,168.60,0.037,0.00
4004,168.60,0.042,0.00
4020,168.50,0.043,0.00
4044,168.50,0.041,0.00
4064,168.40,0.038,0.00
4075,168.40,0.037,0.00
4093,168.30,0.042,0.00
4107,168.30,0.043,0.00
4138,168.20,0.042,0.00
4154,168.20,0.038,0.00
4177,168.10,0.038,0.00
4202,168.10,0.041,0.00
4218,168.00,0.043,0.00
4242,168.00,0.041,0.00
4258,167.90,0.04,0.00
4282,167.90,0.04,0.00
4298,167.80,0.041,0.00
4323,167.80,0.041,0.00
4344,167.70,0.041,0.00
4360,167.70,0.04,0.00
4385,167.60,0.04,0.00
4401,167.60,0.041,0.00
4421,167.50,0.041,0.00
4441,167.50,0.041,0.00
4460,167.40,0.04,0.00
4474,167.40,0.04,0.00
4492,167.30,0.041,0.00
4521,167.30,0.041,0.00
4536,167.20,0.041,0.00
4552,167.20,0.04,0.00
4567,167.10,0.04,0.00
4599,167.10,0.041,0.00
4620,167.00,0.041,0.00
4642,167.00,0.041,0.00
4659,166.90,0.04,0.00
4672,166.90,0.04,0.00
4703,166.80,0.04,0.00
4719,166.80,0.041,0.00
4734,166.70,0.041,0.00
4760,166.70,0.04,0.00
4780,166.60,0.04,0.00
4797,166.60,0.041,0.00
4821,166.50,0.041,0.00
4842,166.50,0.041,0.00
4864,166.40,0.04,0.00
4882,166.40,0.038,0.00
4895,166.30,0.041,0.00
4910,166.30,0.042,0.00
4926,166.20,0.041,0.00
4957,166.20,0.041,0.00
4973,166.10,0.041,0.00
4988,166.10,0.042,0.00
5020,166.00,0.042,0.00
5043,166.00,0.042,0.00
5061,165.90,0.041,0.00
5075,165.90,0.041,0.00
5100,165.80,0.041,0.00
5113,165.80,0.042,0.00
5139,165.70,0.042,0.00
5162,165.70,0.041,0.00
5171,165.60,0.04,0.00
5195,165.60,0.041,0.00
5219,165.50,0.042,0.00
5235,165.50,0.043,0.00
5261,165.40,0.04,0.00
5280,165.40,0.037,0.00
