Time,Length,Pressure,Force
11,183.50,0.038,0.00
31,183.50,0.037,0.00
51,183.40,0.041,0.00
70,183.40,0.044,0.00
86,183.30,0.043,0.00
115,183.30,0.038,0.00
124,183.20,0.037,0.00
155,183.20,0.041,0.00
174,183.10,0.043,0.00
188,183.00,0.043,0.00
202,183.00,0.038,0.00
234,182.90,0.037,0.00
254,182.80,0.041,0.00
269,182.80,0.043,0.00
283,182.70,0.044,0.00
314,182.60,0.038,0.00
329,182.50,0.037,0.00
345,182.40,0.04,0.00
362,182.30,0.043,0.00
394,182.20,0.044,0.00
409,182.10,0.041,0.00
425,182.00,0.037,0.00
451,181.90,0.04,0.00
474,181.80,0.043,0.00
490,181.70,0.044,0.00
506,181.60,0.041,0.00
533,181.40,0.037,0.00
554,181.30,0.038,0.00
570,181.20,0.043,0.00
585,181.10,0.044,0.00
613,181.00,0.041,0.00
633,180.90,0.037,0.00
648,180.80,0.037,0.00
672,180.60,0.043,0.00
692,180.50,0.044,0.00
713,180.40,0.04,0.00
729,180.30,0.037,0.00
752,180.20,0.038,0.00
769,180.00,0.042,0.00
785,179.90,0.041,0.00
805,179.80,0.041,0.00
832,179.60,0.04,0.00
853,179.50,0.04,0.00
863,179.40,0.041,0.00
886,179.30,0.041,0.00
911,179.20,0.041,0.00
934,179.00,0.04,0.00
953,178.90,0.04,0.00
969,178.80,0.041,0.00
991,178.70,0.042,0.00
1007,178.60,0.041,0.00
1033,178.40,0.041,0.00
1043,178.30,0.04,0.00
1070,178.20,0.041,0.00
1085,178.10,0.041,0.00
1110,178.00,0.041,0.00
1125,177.90,0.04,0.00
1152,177.80,0.04,0.00
1168,177.70,0.041,0.00
1183,177.60,0.041,0.00
1198,177.50,0.041,0.00
1230,177.40,0.04,0.00
1252,177.30,0.04,0.00
1263,177.20,0.041,0.00
1279,177.20,0.041,0.00
1308,177.10,0.041,0.00
1332,177.00,0.04,0.00
1348,176.90,0.04,0.00
1373,176.70,0.04,0.00
1389,176.60,0.041,0.00
1405,176.50,0.041,0.00
1420,176.40,0.04,0.00
1438,176.40,0.04,0.00
1469,176.30,0.04,0.00
1484,176.20,0.041,0.00
1502,176.20,0.041,0.00
1532,176.10,0.04,0.00
1553,176.00,0.038,0.00
1572,175.90,0.041,0.00
1588,175.80,0.041,0.00
1605,175.70,0.041,0.00
1621,175.70,0.04,0.00
1651,175.60,0.04,0.00
1669,175.50,0.041,0.00
1684,175.50,0.041,0.00
1700,175.40,0.041,0.00
1731,175.30,0.04,0.00
1750,175.20,0.04,0.00
1772,175.20,0.04,0.00
1789,175.10,0.041,0.00
1805,175.00,0.041,0.00
1829,174.90,0.04,0.00
1844,174.90,0.04,0.00
1860,174.80,0.04,0.00
1891,174.70,0.041,0.00
1907,174.70,0.041,0.00
1923,174.60,0.04,0.00
1939,174.60,0.038,0.00
1971,174.50,0.04,0.00
