count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.67966,2.78218,170.062,178.515,11146,14502,0.109863
200,-14,-0.577883,156.164,-0.165529,63.3831,0.270554,0.28,28,-0.43788,142.647,-0.0955498,-4.58548,141.453,1.19318,153.84,2.32449,0.526978,0.52,0,0,0,0,0,0,0,0,0,0.187929,0,0.187929,0,0,,,,,,,
201,-7,-0.595756,155.066,-0.318468,70.2123,0.270859,0.2804,27,-0.431923,142.626,0.0726008,2.75484,141.475,1.15128,153.821,1.24427,0.526672,0.5196,0,0,0,0,0,0,0,0,0,0.187929,0,0.187929,0,0,,,,,,,
202,1,-0.589798,153.589,-0.595418,33.3138,0.271469,0.2808,24,-0.420008,142.527,0.262213,5.27143,141.502,1.02523,153.785,-0.196084,0.526291,0.5192,0,0,0,0,0,0,0,0,0,0.187929,0,0.187929,0,0,,,,,,,
203,2,-0.592777,153.355,-0.609107,-19.6406,0.272003,0.2812,21,-0.420008,142.449,0.469403,2.89555,141.55,0.898741,153.753,-0.397453,0.525604,0.5188,0,0,0,0,0,0,0,0,0,0.187929,0,0.187929,0,0,,,,,,,
204,-4,-0.592777,154.472,-0.450476,-41.748,0.272232,0.2816,21,-0.422986,142.465,0.488168,-0.473815,141.566,0.898758,153.739,0.733465,0.525375,0.5184,0,0,0,0,0,0,0,0,0,0.187929,0,0.187929,0,0,,,,,,,
205,-9,-0.607671,155.272,-0.383349,-20.838,0.27269,0.282,24,-0.422986,142.602,0.324272,-1.12509,141.577,1.02532,153.711,1.56092,0.525223,0.518,0,0,0,0,0,0,0,0,0,0.187929,0,0.187929,0,0,,,,,,,
206,-5,-0.601713,154.593,-0.412039,7.07626,0.273071,0.2824,32,-0.434902,142.986,0.0692007,3.43441,141.625,1.36076,153.688,0.904565,0.524536,0.5176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
207,6,-0.613628,152.388,-0.412597,-1.85371,0.273605,0.2828,40,-0.425965,143.345,-0.154725,12.8708,141.652,1.69316,153.656,-1.26814,0.524155,0.5172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
208,18,-0.601713,147.496,-0.341719,-71.8998,0.273834,0.2832,41,-0.425965,143.392,-0.165457,21.001,141.657,1.73451,153.643,-6.14614,0.524078,0.5168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
209,23,-0.589798,145.925,-0.0613562,-172.121,0.274292,0.2836,34,-0.422986,143.166,-0.045419,20.2195,141.722,1.44433,153.615,-7.69008,0.523163,0.5164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
210,19,-0.604692,150.721,0.210038,-188.68,0.274597,0.284,26,-0.422986,142.837,0.0561221,9.54104,141.727,1.10967,153.597,-2.87565,0.523087,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
211,3,-0.631501,152.982,-0.0356705,-75.6845,0.274826,0.2844,20,-0.420008,142.6,0.122928,-4.9522,141.743,0.856656,153.583,-0.600751,0.522858,0.5156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
