Time,Length,Pressure,Force
1,.30,0.031,0.00
2,155.30,0.032,0.00
2,155.30,0.035,0.00
2,155.30,0.031,0.00
3,155.30,0.031,0.00
3,155.30,0.042,0.00
3,155.30,0.052,0.00
4,155.30,0.033,0.00
4,155.30,0.031,0.00
5,155.30,0.032,0.00
5,155.30,0.035,0.00
6,155.30,0.031,0.00
6,155.30,0.031,0.00
6,155.30,0.042,0.00
7,155.30,0.052,0.00
7,155.30,0.033,0.00
7,155.30,0.031,0.00
8,155.30,0.032,0.00
16,155.30,0.037,0.00
36,155.30,0.052,0.00
58,155.30,0.04,0.00
77,155.40,0.032,0.00
94,155.40,0.032,0.00
116,155.40,0.037,0.00
135,155.40,0.052,0.00
159,155.40,0.038,0.00
176,155.40,0.032,0.00
193,155.40,0.032,0.00
217,155.50,0.037,0.00
237,155.50,0.052,0.00
257,155.50,0.038,0.00
278,155.50,0.032,0.00
299,155.50,0.032,0.00
315,155.50,0.032,0.00
335,155.60,0.051,0.00
345,155.60,0.043,0.00
377,155.60,0.032,0.00
392,155.60,0.032,0.00
417,155.60,0.033,0.00
438,155.60,0.051,0.00
449,155.70,0.042,0.00
478,155.70,0.032,0.00
494,155.70,0.031,0.00
510,155.70,0.033,0.00
525,155.70,0.049,0.00
557,155.80,0.042,0.00
572,155.80,0.032,0.00
588,155.80,0.031,0.00
604,155.80,0.032,0.00
635,155.80,0.049,0.00
656,155.90,0.046,0.00
675,155.90,0.032,0.00
696,155.90,0.031,0.00
717,155.90,0.032,0.00
737,155.90,0.051,0.00
744,156.00,0.044,0.00
776,156.00,0.032,0.00
794,156.00,0.031,0.00
814,156.00,0.032,0.00
835,156.00,0.047,0.00
856,156.10,0.048,0.00
876,156.10,0.032,0.00
897,156.10,0.031,0.00
911,156.10,0.032,0.00
926,156.10,0.047,0.00
954,156.20,0.049,0.00
974,156.20,0.031,0.00
993,156.20,0.031,0.00
1016,156.30,0.032,0.00
1024,156.30,0.047,0.00
1057,156.30,0.048,0.00
1069,156.40,0.032,0.00
1096,156.40,0.031,0.00
1113,156.40,0.032,0.00
1134,156.50,0.044,0.00
1153,156.60,0.051,0.00
1174,156.70,0.033,0.00
1195,156.80,0.031,0.00
1216,156.90,0.031,0.00
1236,157.00,0.044,0.00
1244,157.10,0.051,0.00
1274,157.10,0.033,0.00
1292,157.20,0.031,0.00
1314,157.30,0.032,0.00
1335,157.40,0.041,0.00
1355,157.50,0.052,0.00
1375,157.60,0.037,0.00
1397,157.80,0.032,0.00
1416,157.90,0.032,0.00
1422,157.90,0.041,0.00
1454,158.00,0.053,0.00
1469,158.10,0.036,0.00
1485,158.10,0.031,0.00
1501,158.20,0.032,0.00
1535,158.30,0.042,0.00
1556,158.30,0.052,0.00
1575,158.40,0.036,0.00
1593,158.50,0.032,0.00
1607,158.60,0.032,0.00
1622,158.60,0.037,0.00
