count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.88817,2.27281,2.83E+10,-17304.9,17176,16460
0,-21,-0.00595756,9.41E+12,-0.000193678,-4.51E+20,0.0102386,0.6,-10,-0.00893633,6836.86,-0.000290517,4.28E+07,0.00802612,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,-25,-0.00595756,7.03E+16,-0.000608728,-1.42E+21,0.262085,0.6,-11,-0.00595756,17407.9,0.0190211,1.35E+08,0.250259,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,-22,0.375326,3.99E+16,2.54769,-1.88E+21,0.252014,0.6,-8,0.0119151,17406.5,0.180899,1.79E+08,0.257126,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,-13,0.774482,3.94E+16,10.6972,-1.57E+21,0.254608,0.6,-5,0.0357453,-5.29E+38,0.618245,-3.56E+39,0.280548,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,-5,1.21236,5.39E+16,22.0271,-1.01E+21,0.26384,0.6,-6,0.0923421,17484.7,1.45078,-7.66E+39,0.267426,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,2,1.60556,7.23E+16,31.952,-5.12E+20,0.273453,0.6,-7,0.256175,-5.08E+51,3.42365,-3.42E+52,0.290314,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,13,3.23793,6.09E+16,46.5711,-1.66E+20,0.28009,0.6,-3,0.417029,-1.47E+50,6.97545,-7.45E+52,0.288864,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,21,3.47028,3.06E+16,66.0928,2.11E+19,0.287872,0.6,2,0.440859,2.70E+55,9.9755,1.82E+56,0.304276,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,16,2.64515,1.05E+17,64.8395,9.28E+19,0.297791,0.6,1,0.238302,-2.15E+45,8.56208,3.91E+56,0.312057,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,-2,1.60258,3.48E+17,30.3355,9.98E+19,0.303513,0.6,-1,0.131066,1.57E+36,2.39434,1.92E+56,0.326096,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10,-13,1.05151,7.10E+17,-15.3146,8.19E+19,0.313278,0.6,1,0.0595756,-6.14E+31,-4.07423,-1.23E+56,0.333878,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,-9,0.735758,9.95E+17,-46.5351,6.08E+19,0.322281,0.6,6,0.00297878,17473.9,-7.70361,-2.20E+56,0.339676,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12,3,0.375326,1.18E+18,-57.2056,4.32E+19,0.333725,0.6,10,-0.0387241,17496.4,-8.64058,-2.00E+56,0.348145,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13,14,0.0297878,7.79E+17,-55.4453,2.60E+19,0.341354,0.6,8,-0.0744694,17535.7,-7.87449,-1.38E+56,0.36676,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,24,-0.151918,-2.91E+17,-48.0647,4.65E+17,0.351578,0.6,-1,-0.116172,-4.43E+16,-6.47616,-7.54E+55,0.380417,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
