count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.8137,2.31153,7.17E+10,-16683.7,17040,16260
0,-11,0.0178727,-6.21E+11,0.000581879,-4.52E+20,0.0123749,0.6,10,-0.0327666,7682.6,-0.00106678,4.29E+07,0.00917053,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,-22,0.0148939,2.58E+18,-0.0181768,-1.40E+21,0.337921,0.6,11,-0.00893633,16873.6,0.156692,1.35E+08,0.344635,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,-22,0.491498,8.25E+17,3.12706,-1.85E+21,0.313278,0.6,9,0.0208514,16843.5,0.69778,1.79E+08,0.335022,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,-2,1.2064,7.00E+17,14.7333,-1.54E+21,0.318466,0.6,4,0.0506392,16879.7,1.49121,1.49E+08,0.341888,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,20,1.76939,8.55E+16,32.1043,-1.01E+21,0.325638,0.6,0,0.140003,3.72E+31,2.61446,2.50E+32,0.336243,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,17,3.40772,3.61E+17,53.9417,-5.30E+20,0.333801,0.6,-1,0.372347,16902.2,5.32848,5.35E+32,0.363632,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,-6,4.21199,2.62E+18,79.5384,-1.73E+20,0.345093,0.6,2,0.384262,-6.03E+22,8.80544,2.59E+32,0.345627,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,-21,2.4426,3.49E+18,78.5467,5.89E+19,0.34494,0.6,6,0.157875,16897.9,8.06346,-1.75E+32,0.362259,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,-27,1.27492,4.67E+18,30.7685,1.73E+20,0.349518,0.6,8,0.0446817,16897,1.86478,-3.06E+32,0.361954,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,-32,0.68214,7.31E+18,-28.7631,2.13E+20,0.358139,0.6,7,-0.0238302,3.39E+13,-4.69367,-2.78E+32,0.387817,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10,-35,0.321708,1.32E+19,-63.7755,2.55E+20,0.370804,0.6,7,-0.0893633,9.63E+08,-8.2518,-1.91E+32,0.394913,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,-29,0,1.76E+19,-71.9889,3.30E+20,0.378891,0.6,9,-0.134045,-6.65E+09,-9.1318,-1.04E+32,0.39827,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12,-17,-0.125109,2.63E+19,-63.5359,4.29E+20,0.391937,0.6,13,-0.172769,1.38E+14,-8.3307,-3.98E+31,0.413147,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13,-13,-0.327666,2.90E+19,-48.1051,5.18E+20,0.395828,0.6,15,-0.205536,-6.22E+28,-6.79215,-3.01E+30,0.428711,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,-19,-0.384262,6.16E+19,-32.6918,7.28E+20,0.410706,0.6,15,-0.199578,-1.93E+07,-4.98398,1.26E+31,0.442139,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15,-21,-0.533201,1.10E+20,-20.6279,1.40E+21,0.42337,0.6,15,-0.229366,1.55E+09,-3.23356,1.60E+31,0.457016,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16,-18,-0.714907,1.50E+20,-13.6828,2.44E+21,0.431381,0.6,14,-0.241281,1.94E+12,-2.0796,1.35E+31,0.468613,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,-22,-0.711928,2.26E+20,-10.5388,3.57E+21,0.439545,0.6,13,-0.235323,-3.40E+52,-1.36206,-2.29E+53,0.482651,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
18,-35,-0.720864,5.52E+20,-7.63296,6.55E+21,0.457245,0.6,19,-0.211493,6.14E+17,-0.53848,-4.93E+53,0.489059,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
19,-48,-0.831079,9.44E+20,-5.21401,1.35E+22,0.467697,0.6,41,-0.211493,3.07E+11,0.305584,-2.43E+53,0.499741,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
20,-47,-0.866824,1.34E+21,-4.58925,2.29E+22,0.476166,0.6,81,-0.226387,2.84E+13,0.631119,1.53E+53,0.506989,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21,-37,-0.944273,1.94E+21,-4.83101,3.25E+22,0.486084,0.6,129,-0.232345,7.05E+06,0.355798,2.76E+53,0.51622,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
22,-31,-0.941294,2.42E+21,-4.88343,4.16E+22,0.49173,0.6,184,-0.235323,9.95E+06,-0.0533436,2.52E+53,0.522781,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,-22,-0.982997,3.47E+21,-4.34563,5.15E+22,0.500122,0.6,249,-0.235323,-492230,-0.287664,1.74E+53,0.530106,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
24,-4,-1.01576,7.49E+21,-3.71075,8.60E+22,0.505692,0.6,316,-0.241281,2.27E+06,-0.366739,9.49E+52,0.534531,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
25,11,-1.05151,2.03E+21,-3.40713,1.01E+23,0.513245,0.6,374,-0.24426,9037.54,-0.400405,3.67E+52,0.540939,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
26,13,-1.09917,2.64E+21,-3.38205,3.83E+22,0.518967,0.6,420,-0.247239,-80085,-0.40623,2.74E+51,0.546738,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
27,12,-1.08725,3.04E+21,-3.25858,-2.39E+22,0.524918,0.6,454,-0.247239,-1.15E+06,-0.358988,-1.20E+52,0.549332,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28,12,-1.14385,3.54E+21,-2.86845,-3.03E+22,0.5298,0.6,469,-0.256175,-478128,-0.32266,-1.49E+52,0.554596,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29,5,-1.18555,2.25E+21,-2.89385,-2.40E+22,0.534378,0.6,460,-0.253196,1.09E+06,-0.320727,-1.20E+52,0.558258,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,-8,-1.20343,-4.61E+22,-3.1832,-3.53E+23,0.538879,0.6,435,-0.256175,833568,-0.273459,-7.61E+51,0.561081,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31,-17,-1.23321,5.43E+22,-3.16304,-3.77E+23,0.542694,0.6,397,-0.259154,3.00E+07,-0.220119,-3.73E+51,0.565582,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
32,-20,-1.2213,5.55E+22,-2.74076,7.45E+23,0.546814,0.6,347,-0.262132,9.87E+06,-0.218637,-1.13E+51,0.567795,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
33,-18,-1.27194,1.04E+23,-2.20702,2.02E+24,0.550095,0.6,294,-0.265111,2.71E+06,-0.239008,2.53E+50,0.569931,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
34,-13,-1.27492,-1.17E+23,-2.01166,1.18E+24,0.553528,0.6,249,-0.265111,-2.57E+06,-0.242946,7.55E+50,0.574661,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
