count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.95966,2.27281,-2.00E+10,-15954.9,16954,16753
0,-23,0.0297878,3.29E+12,0.0009482,-4.42E+20,0.0122223,0.6,-481,0.0178727,1128.83,0.00056892,4.19E+07,0.00901794,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,-19,0.0297878,1.68E+18,0.00298019,-1.38E+21,0.329529,0.6,-480,0.0297878,16145.4,0.0819285,1.32E+08,0.350586,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,-6,0.714907,5.45E+17,4.61116,-1.82E+21,0.310837,0.6,-485,0.0357453,16119.3,0.294321,1.76E+08,0.317627,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,7,1.16172,5.16E+17,17.4881,-1.51E+21,0.319153,0.6,-492,0.0685119,16143.9,0.683172,1.46E+08,0.329071,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,11,2.1328,4.78E+17,35.2287,-9.88E+20,0.322739,0.6,-499,0.196599,16140.1,2.00106,9.48E+07,0.333801,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,10,3.12772,7.06E+17,55.7947,-5.03E+20,0.330139,0.6,-501,0.420008,16149.9,5.44941,4.79E+07,0.353256,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,13,3.68773,7.49E+17,72.9026,-1.65E+20,0.337463,0.6,-494,0.411071,16138.5,9.20725,1.56E+07,0.335556,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,16,2.08514,7.25E+17,63.741,2.17E+19,0.348984,0.6,-482,0.190642,16139.6,8.17337,-1.89E+06,0.346848,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,17,1.34343,5.74E+17,19.9824,9.17E+19,0.352036,0.6,-475,0.0714907,1.38E+20,1.71452,9.30E+20,0.373627,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,19,0.685119,-1.65E+18,-28.658,7.87E+19,0.355469,0.6,-479,0.00893633,2.27E+17,-4.92071,2.00E+21,0.383926,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10,17,0.36639,5.77E+17,-56.9924,3.62E+19,0.363632,0.6,-487,-0.0387241,1.11E+12,-8.29564,9.69E+20,0.390869,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,6,-0.0387241,5.61E+18,-64.7523,5.77E+19,0.372711,0.6,-479,-0.0685119,1.87E+09,-8.71291,-6.47E+20,0.402771,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12,-8,-0.288941,1.72E+19,-59.7628,2.12E+20,0.386368,0.6,-425,-0.0923421,-1.85E+10,-7.41605,-1.14E+21,0.415588,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13,-13,-0.425965,2.80E+19,-48.5917,4.81E+20,0.394989,0.6,-278,-0.128087,2.37E+33,-5.64112,1.59E+34,0.428635,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,-5,-0.51235,3.90E+19,-34.977,7.59E+20,0.406815,0.6,-2,-0.131066,-1.45E+07,-4.04739,3.41E+34,0.449844,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15,6,-0.503413,4.20E+19,-21.9436,9.09E+20,0.421005,0.6,395,-0.151918,-4.62E+10,-2.71806,1.64E+34,0.461365,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16,21,-0.628522,-4.13E+20,-11.9459,-2.22E+21,0.426117,0.6,853,-0.157875,2.81E+17,-1.77648,-1.12E+34,0.473953,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,41,-0.789376,2.71E+20,-7.30197,-4.41E+21,0.442062,0.6,1303,-0.178727,3.29E+26,-1.26917,-1.96E+34,0.484177,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
18,50,-0.878739,3.39E+20,-7.02236,2.47E+21,0.454422,0.6,1708,-0.184684,-1.96E+16,-1.07806,-1.78E+34,0.491959,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
19,44,-0.875761,5.23E+20,-7.27624,1.14E+22,0.465256,0.6,2051,-0.193621,3.06E+12,-0.98875,-1.22E+34,0.501038,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
20,42,-0.938315,6.99E+20,-6.3998,1.61E+22,0.473572,0.6,2318,-0.208514,6.75E+11,-0.945518,-6.63E+33,0.507751,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21,44,-0.97406,9.08E+20,-5.37418,1.87E+22,0.482346,0.6,2510,-0.208514,-5.01E+06,-0.933162,-2.54E+33,0.515839,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
22,34,-1.05747,1.27E+21,-4.96405,2.12E+22,0.490051,0.6,2640,-0.205536,-9.55E+09,-0.756525,-1.61E+32,0.521484,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,19,-1.08428,1.65E+21,-4.99806,2.53E+22,0.497604,0.6,2728,-0.208514,1.84E+08,-0.459445,8.63E+32,0.528427,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
24,14,-1.12598,1.89E+21,-4.8653,2.92E+22,0.505844,0.6,2793,-0.211493,-776694,-0.25289,1.05E+33,0.53392,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
25,20,-1.14385,2.44E+21,-4.35895,3.25E+22,0.511261,0.6,2839,-0.214472,91638.7,-0.179516,8.47E+32,0.539642,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
26,24,-1.14981,3.06E+21,-3.5348,3.83E+22,0.517899,0.6,2871,-0.223408,-87368.3,-0.221021,5.34E+32,0.544525,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
27,24,-1.23917,3.51E+21,-3.04276,4.55E+22,0.522247,0.6,2892,-0.226387,1.49E+06,-0.33883,2.60E+32,0.548187,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28,18,-1.28683,3.99E+21,-3.58237,4.97E+22,0.528351,0.6,2892,-0.232345,464779,-0.436329,7.71E+31,0.552689,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29,8,-1.28087,3.09E+21,-4.04131,4.14E+22,0.533157,0.6,2892,-0.232345,3.74E+07,-0.459068,-1.92E+31,0.555969,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,-3,-1.31066,-1.45E+22,-3.58124,-1.00E+23,0.537659,0.6,2883,-0.232345,-396884,-0.384675,-5.38E+31,0.559708,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31,-3,-1.34045,-4.07E+22,-2.98617,-5.51E+23,0.542007,0.6,2860,-0.241281,100890,-0.310301,-5.36E+31,0.562912,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
32,7,-1.36428,4.45E+21,-2.69631,-7.55E+23,0.545517,0.6,2818,-0.241281,-5.99E+06,-0.316133,-3.90E+31,0.565048,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
33,12,-1.403,6.77E+21,-2.63079,-1.89E+23,0.549484,0.6,2759,-0.250217,1.52E+07,-0.35353,-2.25E+31,0.568253,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
34,8,-1.38513,6.08E+21,-2.45544,4.26E+23,0.552002,0.6,2684,-0.24426,-1.36E+06,-0.353859,-9.59E+30,0.570465,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,5,-1.39705,5.50E+21,-1.82111,5.67E+23,0.555588,0.6,2588,-0.24426,-31363.9,-0.238597,-1.68E+30,0.572678,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
36,10,-1.40896,8.17E+21,-1.18826,4.78E+23,0.557343,0.6,2477,-0.241281,-607021,-0.0665424,2.04E+30,0.5755,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
37,17,-1.43875,1.12E+22,-1.0474,3.65E+23,0.560776,0.6,2364,-0.232345,588463,0.122675,3.02E+30,0.577026,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
38,20,-1.43577,1.24E+22,-1.16766,2.87E+23,0.562302,0.6,2254,-0.208514,55591.8,0.46832,2.62E+30,0.578552,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
39,19,-1.47152,1.32E+22,-1.30311,2.19E+23,0.564667,0.6,2149,-0.208514,-82677.8,0.865426,1.74E+30,0.58107,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
40,14,-1.48641,1.29E+22,-1.56864,1.48E+23,0.56665,0.6,2049,-0.208514,787345,0.956172,9.10E+29,0.582291,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,7,-1.48939,1.02E+22,-1.71593,6.17E+22,0.567719,0.6,1953,-0.214472,1.52E+06,0.695578,3.21E+29,0.583664,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
42,8,-1.51024,1.18E+22,-1.59433,-1.85E+22,0.570312,0.6,1865,-0.217451,1.03E+07,0.300154,-8.19E+27,0.586105,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
