count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,5.13243,2.3294,4.18E+11,-16548.8,17229,16319
0,-48,-0.110215,-1.48E+11,-0.00358223,-4.51E+20,0.0124512,0.6,-10,-0.0208514,6662.14,-0.000677719,4.28E+07,0.00909424,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,-51,-0.113194,3.33E+18,-0.0312304,-1.39E+21,0.336395,0.6,-13,0.00595756,-4.31E+31,0.177613,-2.89E+32,0.333267,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,-49,0.449795,1.34E+18,3.69919,-1.83E+21,0.317017,0.6,-19,0.0178727,16700.7,0.642035,-6.20E+32,0.326324,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,-55,0.905548,1.30E+18,14.8327,-1.52E+21,0.315186,0.6,-20,0.0923421,16721.5,1.49976,-2.99E+32,0.339218,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,-68,1.42386,1.68E+18,28.7942,-9.92E+20,0.318466,0.6,-17,0.294899,-7.48E+29,3.88655,1.98E+32,0.334564,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,-77,2.67494,4.21E+18,45.1658,-4.85E+20,0.337158,0.6,-13,0.506392,1.52E+30,8.45393,3.55E+32,0.338989,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,-71,3.69071,4.14E+18,66.7854,-1.09E+20,0.337692,0.6,-10,0.250217,5.64E+22,10.5223,3.39E+32,0.363174,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,-52,2.25493,4.75E+18,70.1202,9.54E+19,0.344025,0.6,-7,0.128087,-3.21E+22,5.68699,2.36E+32,0.361877,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,-36,1.27194,5.61E+18,33.5859,1.68E+20,0.351196,0.6,-9,0.00595756,-3.45E+18,-2.02295,1.19E+32,0.37706,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,-32,0.574904,7.41E+18,-18.0661,1.80E+20,0.358444,0.6,-14,-0.0446817,6.63E+18,-7.45948,3.90E+31,0.377747,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
