count,ms_speed_left_model
200,73.2474
201,103.408
202,-34.3668
203,-154.726
204,-119.121
205,-1.46091
206,101.595
207,134.422
208,65.1125
209,-18.9733
210,-118.337
211,-95.9072
212,0
213,-33.8607
214,-115.787
215,-39.9295
216,156.647
217,148.315
218,21.6553
219,7.98219
220,68.661
221,0.502058
222,48.4086
223,62.0285
224,43.985
225,-79.5203
226,-173.568
227,-72.7635
228,30.6335
229,71.7519
230,104.768
231,55.919
232,-62.7347
233,-119.456
234,-8.60874
235,107.76
236,83.1086
237,-36.3881
238,-86.4582
239,-49.2671
240,31.2348
241,29.6652
242,18.6665
243,-9.54854
244,-29.9828
245,-49.0711
246,-0.996983
247,117.937
248,116.411
249,-25.8898
250,-156.911
251,-143.15
252,-34.0674
253,64.9493
254,119.999
255,131.354
256,67.6762
257,36.6222
258,6.90005
259,-51.6386
260,-132.199
261,-118.032
262,-72.2176
263,-120.433
264,-133.789
265,74.2285
266,251.503
267,164.007
268,-56.5424
269,-190.012
270,-123.619
271,45.7823
272,119.171
273,72.0776
274,-1.50203
275,-38.8788
276,-41.7098
277,-10.4415
278,21.3644
279,19.5684
280,-19.5684
281,19.5898
282,98.8366
283,27.9953
284,-107.561
285,-102.878
286,19.5043
287,115.819
288,75.6429
289,-19.4404
290,-86.1335
291,-63.7051
292,-9.05984
293,49.521
294,99.3376
295,20.0554
296,-139.373
297,-232.837
298,-160.78
299,2.77522
300,205.723
301,267.725
302,103.937
303,-164.821
304,-231.152
305,-0.481395
306,136.74
307,82.9832
308,11.2303
309,-0.496246
310,-19.563
311,-13.3533
312,1.98024
313,-51.9971
314,-112.652
315,-23.7458
316,157.227
317,190.829
318,-1.00196
319,-86.4826
320,-71.6042
321,109.272
322,129.645
323,8.4167
324,-80.5741
325,-136.867
326,-207.467
327,-124.251
328,112.113
329,178.769
330,20.8332
331,-63.3596
332,0.492589
333,123.054
334,97.2761
335,7.80354
336,-45.6611
337,-10.0638
338,19.6297
339,18.3937
340,-9.93256
341,28.0959
342,45.8099
343,27.8922
344,-9.42401
345,-90.8387
346,-192.009
347,-182.501
348,-11.3973
349,126.597
350,171.648
351,94.3062
352,56.4207
353,71.1289
354,24.936
355,-86.9672
356,-162.249
357,-113.565
358,-0.492862
359,23.3745
360,-54.7473
361,-56.9151
362,0.486224
363,33.1414
364,15.1393
365,40.8001
366,41.0652
367,136.218
368,175.119
369,115.123
370,16.9828
371,-31.6127
372,-15.2501
373,22.9779
374,55.4963
375,-28.081
376,-66.9244
377,-48.4333
378,-6.67504
379,20.45
380,71.2284
381,130.501
382,94.8606
383,3.08683
384,-84.2556
385,-83.413
386,10.2948
387,96.2705
388,49.9819
389,1.01858
390,-299.372
391,10.9694
392,87.425
393,23.4908
394,-61.7551
395,-108.788
396,-80.3723
