Count,OriginalData,ExponentialMovingAverage
1,73.247398,
2,103.407997,
3,-34.366798,
4,-154.725998,
5,-119.121002,
6,-1.460910,
7,101.595001,
8,134.421997,
9,65.112503,
10,-18.973301,
11,-118.336998,
12,-95.907204,
13,0.000000,
14,-33.860699,
15,-115.787003,
16,-39.929501,
17,156.647003,
18,148.315002,
19,21.655300,
20,7.982190,
21,68.661003,
22,0.502058,
23,48.408600,
24,62.028500,
25,43.985001,
26,-79.520302,
27,-173.567993,
28,-72.763496,
29,30.633499,
30,71.751900,
31,104.767998,
32,55.918999,
33,-62.734699,
34,-119.456001,
35,-8.608740,
36,107.760002,
37,83.108597,
38,-36.388100,
39,-86.458199,
40,-49.267101,
41,31.234800,
42,29.665199,
43,18.666500,
44,-9.548540,
45,-29.982800,
46,-49.071098,
47,-0.996983,
48,117.936996,
49,116.411003,
50,-25.889799,16.683306
51,-156.910995,13.956391
52,-143.149994,-10.845459
53,-34.067402,-28.040627
54,64.949303,-19.576635
55,119.999001,1.816236
56,131.354004,20.839525
57,67.676201,27.117731
58,36.622200,18.112936
59,6.900050,6.296471
60,-51.638599,-9.419320
61,-132.199005,-11.199475
62,-118.031998,-2.412820
63,-72.217598,-9.731588
64,-120.432999,-25.157389
65,-133.789001,-19.153988
66,74.228500,11.104712
67,251.503006,19.404785
68,164.007004,7.938505
69,-56.542400,3.559880
70,-190.011993,4.178622
71,-123.619003,-10.054901
72,45.782299,-1.383489
73,119.170998,5.186896
74,72.077599,5.368793
75,-1.502030,-11.610823
76,-38.878799,-25.404716
77,-41.709801,-12.405374
78,-10.441500,1.661168
79,21.364401,7.997131
80,19.568399,12.917956
81,-19.568399,5.034751
82,19.589800,-10.448214
83,98.836601,-13.836876
84,27.995300,2.801144
85,-107.560997,14.217812
86,-102.877998,6.290508
87,19.504299,-9.359112
88,115.819000,-11.224607
89,75.642899,-2.786115
90,-19.440399,7.452618
91,-86.133499,3.570205
92,-63.705101,-0.556155
93,-9.059840,-4.707106
94,49.521000,-5.345250
95,99.337601,-3.822673
96,20.055401,3.618111
97,-139.373001,14.102282
98,-232.837006,4.211928
99,-160.779999,-21.511526
100,2.775220,-38.286163
101,205.723007,-26.855328
102,267.725006,-0.544371
103,103.936996,16.949820
104,-164.820999,17.269733
105,-231.151993,9.064024
106,-0.481395,0.074139
107,136.740005,1.232002
108,82.983200,0.416550
109,11.230300,-7.079613
110,-0.496246,-17.721203
111,-19.563000,-15.876646
112,-13.353300,-9.579038
113,1.980240,-15.649229
114,-51.997101,-18.881701
115,-112.652000,5.585633
116,-23.745800,28.420483
117,157.227005,21.633581
118,190.828995,-1.571464
119,-1.001960,-19.607460
120,-86.482597,-13.247099
121,-71.604202,7.384250
122,109.272003,21.309278
123,129.645004,19.186039
124,8.416700,8.808449
125,-80.574097,0.246205
126,-136.867004,-5.513816
127,-207.466995,-9.202974
128,-124.250999,-9.411347
129,112.112999,-4.888686
130,178.768997,-2.981600
131,20.833200,3.250387
132,-63.359600,11.360258
133,0.492589,1.349304
134,123.054001,-12.218616
135,97.276100,-7.291102
136,7.803540,9.859069
137,-45.661098,20.713110
138,-10.063800,14.070377
139,19.629700,1.423696
140,18.393700,-6.934335
141,-9.932560,-4.017369
142,28.095900,4.635435
143,45.809898,14.176061
144,27.892200,21.454096
145,-9.424010,9.516372
146,-90.838699,-15.989658
147,-192.009003,-35.537983
148,-182.501007,-31.551981
149,-11.397300,-8.632714
150,126.597000,24.129087
151,171.647995,38.302963
152,94.306198,18.338779
153,56.420700,-16.530550
154,71.128899,-22.067461
155,24.936001,10.985363
156,-86.967201,25.710030
157,-162.248993,11.065835
158,-113.565002,-3.529757
159,-0.492862,-4.997255
160,23.374500,-6.464355
161,-54.747299,-7.517635
162,-56.915100,-7.380175
163,0.486224,-14.374782
164,33.141399,-20.717962
165,15.139300,-7.282854
166,40.800098,19.088224
167,41.065201,24.496389
168,136.218002,2.923056
169,175.119003,-1.889623
170,115.123001,4.712144
171,16.982800,29.665747
172,-31.612700,30.019121
173,-15.250100,11.841769
