Count,OriginalData,ExponentialMovingAverage
1,73.247398,
2,103.407997,
3,-34.366798,
4,-154.725998,
5,-119.121002,
6,-1.460910,
7,101.595001,
8,134.421997,
9,65.112503,
10,-18.973301,
11,-118.336998,
12,-95.907204,
13,0.000000,
14,-33.860699,
15,-115.787003,
16,-39.929501,
17,156.647003,
18,148.315002,
19,21.655300,
20,7.982190,
21,68.661003,
22,0.502058,
23,48.408600,
24,62.028500,
25,43.985001,
26,-79.520302,
27,-173.567993,
28,-72.763496,
29,30.633499,
30,71.751900,
31,104.767998,
32,55.918999,
33,-62.734699,
34,-119.456001,
35,-8.608740,
36,107.760002,
37,83.108597,
38,-36.388100,
39,-86.458199,
40,-49.267101,
41,31.234800,
42,29.665199,
43,18.666500,
44,-9.548540,
45,-29.982800,
46,-49.071098,
47,-0.996983,
48,117.936996,
49,116.411003,
50,-25.889799,
51,-156.910995,
52,-143.149994,
53,-34.067402,
54,64.949303,
55,119.999001,
56,131.354004,
57,67.676201,
58,36.622200,
59,6.900050,
60,-51.638599,
61,-132.199005,
62,-118.031998,
63,-72.217598,
64,-120.432999,
65,-133.789001,
66,74.228500,
67,251.503006,
68,164.007004,
69,-56.542400,
70,-190.011993,
71,-123.619003,
72,45.782299,
73,119.170998,
74,72.077599,
75,-1.502030,
76,-38.878799,
77,-41.709801,
78,-10.441500,
79,21.364401,
80,19.568399,
81,-19.568399,
82,19.589800,
83,98.836601,
84,27.995300,
85,-107.560997,
86,-102.877998,
87,19.504299,
88,115.819000,
89,75.642899,
90,-19.440399,
91,-86.133499,
92,-63.705101,
93,-9.059840,
94,49.521000,
95,99.337601,
96,20.055401,
97,-139.373001,
98,-232.837006,
99,-160.779999,
100,2.775220,1.549914
101,205.723007,9.674460
102,267.725006,-3.860173
103,103.936996,-18.013344
104,-164.820999,-16.102123
105,-231.151993,-4.438040
106,-0.481395,9.586485
107,136.740005,16.546728
108,82.983200,8.482905
109,11.230300,-2.841709
110,-0.496246,-16.241785
111,-19.563000,-13.272213
112,-13.353300,-0.295050
113,1.980240,-4.832237
114,-51.997101,-16.852972
115,-112.652000,-8.484474
116,-23.745800,17.815292
117,157.227005,19.448376
118,190.828995,5.701666
119,-1.001960,3.718591
120,-86.482597,10.143867
121,-71.604202,-0.698602
122,109.272003,7.962046
123,129.645004,12.214740
124,8.416700,9.697771
125,-80.574097,-8.803300
126,-136.867004,-24.066341
127,-207.466995,-14.056537
128,-124.250999,-2.246278
129,112.112999,5.582661
130,178.768997,13.480043
131,20.833200,7.015091
132,-63.359600,-10.435424
133,0.492589,-17.894915
134,123.054001,-0.103298
135,97.276100,17.572756
136,7.803540,14.043322
137,-45.661098,-3.309988
138,-10.063800,-10.219527
139,19.629700,-4.595517
140,18.393700,6.753732
141,-9.932560,6.210906
142,28.095900,5.155859
143,45.809898,2.142653
144,27.892200,-0.112747
145,-9.424010,-2.880279
146,-90.838699,1.883664
147,-192.009003,14.139095
148,-182.501007,10.038721
149,-11.397300,-9.642787
150,126.597000,-24.675577
151,171.647995,-18.925758
152,94.306198,-1.921799
153,56.420700,12.633056
154,71.128899,21.241060
155,24.936001,22.850857
156,-86.967201,12.058966
157,-162.248993,4.404898
158,-113.565002,-1.953327
159,-0.492862,-9.846223
160,23.374500,-20.090321
161,-54.747299,-18.859432
162,-56.915100,-13.413116
163,0.486224,-19.662695
164,33.141399,-20.424482
165,15.139300,8.429976
166,40.800098,33.060863
167,41.065201,21.378859
168,136.218002,-6.193224
169,175.119003,-20.664825
170,115.123001,-8.991248
171,16.982800,14.447540
172,-31.612700,23.466877
173,-15.250100,16.327230
174,22.977900,6.501670
175,55.496300,2.413801
176,-28.080999,1.426836
177,-66.924400,4.304769
178,-48.433300,7.564624
179,-6.675040,7.039605
180,20.450001,2.008920
181,71.228401,8.678734
182,130.501007,21.815233
183,94.860603,13.674986
184,3.086830,-4.879007
185,-84.255600,-5.817089
186,-83.413002,9.207896
187,10.294800,22.263330
188,96.270500,18.291929
189,49.981899,6.052191
190,1.018580,-3.072812
