Count,OriginalData,MovingAverage
1,73.2474,5.34204
2,103.408,0.738868
3,-34.3668,-4.19229
4,-154.726,-4.1863
5,-119.121,0.207203
6,-1.46091,4.9896
7,101.595,7.6459
8,134.422,6.96753
9,65.1125,5.01153
10,-18.9733,3.84728
11,-118.337,3.19397
12,-95.9072,2.91673
13,0,2.47424
14,-33.8607,1.02989
15,-115.787,-0.70156
16,-39.9295,-1.0616
17,156.647,1.22156
18,148.315,3.11868
19,21.6553,3.43252
20,7.98219,1.86857
21,68.661,-2.09132
22,0.502058,-5.93692
23,48.4086,-5.03131
24,62.0285,-3.61607
25,43.985,-3.41508
26,-79.5203,-4.32482
27,-173.568,-3.51199
28,-72.7635,-0.87483
29,30.6335,0.37161
30,71.7519,0.186228
31,104.768,-0.857443
32,55.919,-3.34417
33,-62.7347,-4.07075
34,-119.456,-0.839329
35,-8.60874,2.1097
36,107.76,0.130653
37,83.1086,-4.08211
38,-36.3881,-5.35419
39,-86.4582,-2.31005
40,-49.2671,0.931972
41,31.2348,1.5285
42,29.6652,-0.818862
43,18.6665,-2.68627
44,-9.54854,-3.24079
45,-29.9828,-2.0594
46,-49.0711,0.527004
47,-0.996983,1.90953
48,117.937,-0.857986
49,116.411,-7.87347
50,-25.8898,-13.4173
51,-156.911,-12.844
52,-143.15,-5.59131
53,-34.0674,2.62619
54,64.9493,5.38628
55,119.999,0.790876
56,131.354,-6.23214
57,67.6762,-8.86885
58,36.6222,-7.48757
59,6.90005,-6.56035
60,-51.6386,-6.47375
61,-132.199,-5.4509
62,-118.032,-3.19818
63,-72.2176,-1.10461
64,-120.433,0.379348
65,-133.789,1.74807
66,74.2285,2.17081
67,251.503,0.21132
68,164.007,-1.6742
69,-56.5424,-1.13776
70,-190.012,-0.0269508
71,-123.619,2.04364
72,45.7823,3.08393
73,119.171,4.35373
74,72.0776,4.56321
75,-1.50203,3.28999
76,-38.8788,1.70855
77,-41.7098,-0.251217
78,-10.4415,-3.56636
79,21.3644,-5.84255
80,19.5684,-4.02758
81,-19.5684,-0.843567
82,19.5898,-0.0355354
83,98.8366,-1.69452
84,27.9953,-3.6614
85,-107.561,-1.76023
86,-102.878,2.33651
87,19.5043,4.55014
88,115.819,3.24683
89,75.6429,0.72918
90,-19.4404,-0.391083
91,-86.1335,0.365597
92,-63.7051,1.88962
93,-9.05984,3.72564
94,49.521,4.82303
95,99.3376,4.39046
96,20.0554,2.21522
97,-139.373,-0.00265808
98,-232.837,-1.05538
99,-160.78,-0.0486597
100,2.77522,2.939
101,205.723,5.41543
102,267.725,4.73393
